"SKU "	"ProductName "	"Description "	"ItemType"	"MainImageURL "	"Length"	"TotalDiamondWeight "	"gemstonecarat"	"MetalType "	"MetalStamp "	"SettingType "	"MSRP "	"ItemPrice "	"Width"	"TotalMetalWeight "	"earringback"	"StoneColor1 "	"StoneClarity1"	"StoneShape1"	"category"	"link"	"image_link"
"RM356Y"	"14K White Gold Diamond Wedding Band Set 3.75 Ctw"	"This exquisite diamond wedding ring set is crafted in 14K White Gold. The engagement ring features a square center piece with nine invisibly set yellow princess cut diamonds and is highlighted with addition princess cut diamonds from opposite sides. The matching wedding bands for him and her are invisibly set with another set of yellow and white princess cut diamonds. This wedding ring set weighs approximately 14.9 grams. "	"Diamond Ring Set"	"/i/m/im-1_25.jpg"	""	"3.75 Ctw"	""	"White"	"14K Gold"	"Invisible "	"7750.0000"	"2584.0000"	""	"1.0000"	""	"Enhanced Yellow , G , H"	"SI1 , SI2"	"Princess"	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/1857/s/14k-white-gold-diamond-bridal-ring-set-3-75-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//i/m/im-1_25.jpg"
"R339"	"14K White Gold Diamond Wedding Band Set 3.00 Ctw"	"This exquisite diamond wedding band set is crafted in 14K White Gold. The engagement ring features a square center piece with sixteen invisibly set  princess cut diamonds and is highlighted with addition princess and round cut diamonds from opposite sides. The matching wedding bands for him and her are invisibly set with another set of princess and round cut diamonds. This elegant and alluring diamond bridal three ring set is ideal for him and her. "	"Diamond Ring Set"	"/f/i/file_287.jpg"	""	"3.00 Ctw"	""	"White"	"14K Gold"	"Invisible , Channel "	"9000.0000"	"3000.0000"	""	"1.0000"	""	"H"	"SI1 , SI2"	"Princess , Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/1858/s/14k-white-gold-diamond-bridal-ring-set-3-75-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//f/i/file_287.jpg"
"R1667"	"14K White Gold Diamond Wedding Band Set 1.94 Ctw"	"This exquisite diamond wedding band set is crafted in 14K White Gold weighing approximately 11.6 grams. The engagement ring features a square center piece with sixteen invisibly set  princess cut diamonds and is highlighted with two rows of addition round cut diamonds from opposite sides. The matching wedding bands for him and her are channel set with two rows of small round cut diamonds. This elegant and alluring bridal three ring set is ideal for him and her. "	"Diamond Ring Set"	"/r/1/r1667-1.jpg"	""	"1.94 Ctw"	""	"White"	"14K Gold"	"Invisible , Channel "	"3500.0000"	"1167.0000"	""	"1.0000"	""	"H , I"	"SI2 , SI3"	"Princess , Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/1859/s/14k-white-gold-diamond-bridal-ring-set-3-75-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//r/1/r1667-1.jpg"
"SET01"	"14K Yellow Gold Diamond Wedding Band Set 1.07 Ctw"	"This uniquely designed diamond wedding band set is crafted in lustrous 14K White Gold. The rectangle center piece of the engagement ring is invisibly set with small princess cut diamonds. The two matching wedding bands for him and her are prong set with one small round cut diamond. This gold diamond three ring wedding band set weighs approximately 13.2 grams."	"Diamond Ring Set"	"/s/e/set01-1.jpg"	""	"1.07 Ctw"	""	"Yellow"	"14K Gold"	"Prong, Invisible "	"4000.0000"	"1334.0000"	""	"1.0000"	""	"H , I"	"SI2 , SI3"	"Princess , Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/1866/s/14k-yellow-gold-diamond-bridal-ring-set-1-07-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//s/e/set01-1.jpg"
"RM583B"	"14K Yellow Gold Diamond Wedding Band Set 2.25 Ctw"	"This uniquely designed diamond wedding band set is crafted in lustrous 14K White Gold. The center piece of the engagement ring is invisibly set with small princess cut diamonds and the band is channel set with baguette cut diamonds. The two matching wedding bands for him and her are channel set with baguette cut diamonds. This diamond bridal three ring set gleams with beauty and elegance. "	"Diamond Ring Set"	"/f/i/file_341_3.jpg"	""	"2.25 Ctw"	""	"Yellow"	"14K Gold"	"Invisible, Channel "	"7500.0000"	"2500.0000"	""	"1.0000"	""	"G , H"	"SI1 , VS2"	"Baguette , Princess"	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/1887/s/14k-yellow-gold-diamond-bridal-ring-set-1-07-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//f/i/file_341_3.jpg"
"VR03728"	"10K Yellow Gold Diamond Wedding Band Set 0.64 Ctw"	"This exquisite diamond wedding band set is crafted in 10K Yellow Gold. The engagement ring features numerous small round cut diamonds which are pave set half way across the ring. Small round cut diamonds are pave set across the matching womens wedding band which measures to 1/4 Inches in width. The set comes with one mens wedding band which is adorned with small round cut diamonds and measures to 3/8 Inches in width. Weighing approximately 10 grams, this lovely diamond wedding band set is an ideal gift at an affordable value. "	"Diamond Ring Set"	"/v/r/vr03728-1_1.jpg"	""	"0.64 Ctw"	""	"Yellow"	"10K Gold"	"Micro Pave "	"2100.0000"	"700.0000"	""	"1.0000"	""	"H"	"SI1 , SI2"	"Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/3126/s/10k-yellow-gold-diamond-wedding-band-set-0-64-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr03728-1_1.jpg"
"VR03728A"	"10K White Gold Diamond Wedding Band Set 0.64 Ctw"	"This exquisite diamond wedding band set is crafted in 10K White Gold. The engagement ring features numerous small round cut diamonds which are pave set half way across the ring. Small round cut diamonds are pave set across the matching womens wedding band which measures to 1/4 Inches in width. The set comes with one mens wedding band which is adorned with small round cut diamonds and measures to 3/8 Inches in width. Weighing approximately 10 grams, this lovely diamond wedding band set is an ideal gift at an affordable value. "	"Diamond Ring Set"	"/v/r/vr03728a-1_1.jpg"	""	"0.64 Ctw"	""	"White"	"10K Gold"	"Micro Pave "	"2100.0000"	"700.0000"	""	"1.0000"	""	"H"	"SI1 , SI2"	"Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/3127/s/10k-yellow-gold-diamond-wedding-band-set-0-64-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr03728a-1_1.jpg"
"VR03720A"	"10K White Gold Diamond Wedding Band Set 0.92 Ctw"	"10KThis exquisite diamond wedding band set is crafted in highly gleaming 10K White Gold. The engagement ring features square center piece which is adorned with numerous round cut diamonds and measures to 5/16 Inches in width. The ring comes with a matching womens wedding band which is also highlighted with round cut diamonds and measures to 1/4 Inches in width. The set also consists of one mens diamond wedding band which measures to 3/8 Inches in width. This finely detailed diamond wedding band set weighs approximately 9.8 grams and is an ideal gift at an affordable value."	"Diamond Ring Set"	"/v/r/vr03720-1.jpg"	""	"0.92 Ctw"	""	"White"	"10K Gold"	"Micro Pave "	"2450.0000"	"817.0000"	""	"1.0000"	""	"H"	"SI1 , SI2"	"Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/3145/s/10k-yellow-gold-diamond-wedding-band-set-0-92-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr03720-1.jpg"
"VR03722"	"10K Yellow Gold Diamond Wedding Band Set 1.00 Ctw"	"This finely detailed diamond wedding band set is crafted in highly gleaming 10K Yellow Gold. The engagement ring and the wedding band are both adorned with numerous small round cut diamonds which are H in color and SI1/SI2 in clarity. The band of both rings measure to 1/4 Inches in width and the center piece of the engagement ring also measures to 1/4 Inches in width. The set also includes a matching mens wedding band which is highlighted with brilliant round cut diamonds and measures to 3/8 Inches in width. Weighing approximately 10.3 grams, this one of a kind diamond wedding band set is an ideal gift at an affordable value. "	"Diamond Ring Set"	"/i/m/im-1_26.jpg"	""	"1.00 Ctw"	""	"Yellow"	"10K Gold"	"Micro Pave "	"2150.0000"	"717.0000"	""	"1.0000"	""	"H"	"SI1 , SI2"	"Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/3149/s/10k-yellow-gold-diamond-wedding-band-set-1-00-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//i/m/im-1_26.jpg"
"VR03722A"	"10K White Gold Diamond Wedding Band Set 1.00 Ctw"	"This finely detailed diamond wedding band set is crafted in highly gleaming 10K White Gold. The engagement ring and the wedding band are both adorned with numerous small round cut diamonds which are H in color and SI1/SI2 in clarity. The band of both rings measure to 1/4 Inches in width and the center piece of the engagement ring also measures to 1/4 Inches in width. The set also includes a matching mens wedding band which is highlighted with brilliant round cut diamonds and measures to 3/8 Inches in width. Weighing approximately 10.3 grams, this one of a kind diamond wedding band set is an ideal gift at an affordable value. "	"Diamond Ring Set"	"/i/m/im-1_30.jpg"	""	"1.00 Ctw"	""	"White"	"10K Gold"	"Micro Pave "	"2450.0000"	"817.0000"	""	"1.0000"	""	"H"	"SI1 , SI2"	"Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/3150/s/10k-yellow-gold-diamond-wedding-band-set-1-00-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//i/m/im-1_30.jpg"
"VR03736A"	"10K White Gold Diamond Wedding Band Set 0.89 Ctw"	"This elegant diamond wedding band set is crafted in highly gleaming 10K White Gold. The engagement ring and the matching wedding band feature numerous small round cut diamonds which are pave set half way across the bands. The set comes with one mens wedding band which is also set with numerous small round cut diamonds and measures to 3/8 Inches in width. Weighing approximately 9.6 grams, this is an ideal diamond three ring wedding band set at an affordable value."	"Diamond Ring Set"	"/v/r/vr03736a-1.jpg"	""	"0.89 Ctw"	""	"White"	"10K Gold"	"Micro Pave "	"2250.0000"	"750.0000"	""	"1.0000"	""	"H"	"SI1 , SI2"	"Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/3153/s/10k-yellow-gold-diamond-wedding-band-set-0-89-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr03736a-1.jpg"
"VR03409"	"10K Yellow Gold Diamond Wedding Band Set 0.45 Ctw"	"This exquisite diamond wedding band set is crafted in 10K Yellow Gold. The engagement ring comes with a matching womens wedding band and they are both pave set with numerous small round cut diamonds which are H in color and SI1/SI2 in clarity. This set comes with a matching mens wedding band which is also adorned with brilliant round cut diamonds and measures to 1/4 Inches in width. Weighing approximately 6.5 grams, this finely detailed wedding band set is an ideal gift at an affordable value."	"Diamond Ring Set"	"/v/r/vr03409-1.jpg"	""	"0.45 Ctw"	""	"Yellow"	"10K Gold"	"Micro Pave "	"1590.0000"	"530.0000"	""	"1.0000"	""	"H"	"SI1 , SI2"	"Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/3156/s/10k-yellow-gold-diamond-wedding-band-set-0-54-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr03409-1.jpg"
"VR03409A"	"10K White Gold Diamond Wedding Band Set 0.45 Ctw"	"This exquisite diamond wedding band set is crafted in 10K White Gold. The engagement ring comes with a matching womens wedding band and they are both pave set with numerous small round cut diamonds which are H in color and SI1/SI2 in clarity. This set comes with a matching mens wedding band which is also adorned with brilliant round cut diamonds and measures to 1/4 Inches in width. Weighing approximately 6.5 grams, this finely detailed wedding band set is an ideal gift at an affordable value."	"Diamond Ring Set"	"/v/r/vr03409a-1.jpg"	""	"0.45 Ctw"	""	"White"	"10K Gold"	"Micro Pave "	"1590.0000"	"539.0000"	""	"1.0000"	""	"H"	"SI1 , SI2"	"Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/3157/s/10k-yellow-gold-diamond-wedding-band-set-0-54-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr03409a-1.jpg"
"VR03709"	"10K Yellow Gold Diamond Wedding Band Set 0.60 Ctw"	"This one of a kind diamond wedding band set is crafted in highly gleaming 10K Yellow Gold. The engagement ring comes with a matching wedding band and they are both adorned with brilliant round cut diamonds which are H in color and SI1/SI2 in clarity. The set includes one mens wedding band which measure sto 1/4 Inches in width and is features small round cut diamonds which are pave set half way across the band. Weighing approximately 7.8 grams, this exquisite diamond three ring wedding band set is an ideal addition at an affordable value."	"Diamond Ring Set"	"/v/r/vr03709-1_1.jpg"	""	"0.60 Ctw"	""	"Yellow"	"10K Gold"	"Micro Pave "	"1775.0000"	"592.0000"	""	"1.0000"	""	"H"	"SI1 , SI2"	"Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/3158/s/10k-yellow-gold-diamond-wedding-band-set-0-60-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr03709-1_1.jpg"
"VR03709A"	"10K White Gold Diamond Wedding Band Set 0.60 Ctw"	"This one of a kind diamond wedding band set is crafted in highly gleaming 10K White Gold. The engagement ring comes with a matching wedding band and they are both adorned with brilliant round cut diamonds which are H in color and SI1/SI2 in clarity. The set includes one mens wedding band which measure sto 1/4 Inches in width and is features small round cut diamonds which are pave set half way across the band. Weighing approximately 7.8 grams, this exquisite diamond three ring wedding band set is an ideal addition at an affordable value."	"Diamond Ring Set"	"/v/r/vr03709a-1_1.jpg"	""	"0.60 Ctw"	""	"White"	"10K Gold"	"Micro Pave "	"1775.0000"	"592.0000"	""	"1.0000"	""	"H"	"SI1 , SI2"	"Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/3159/s/10k-yellow-gold-diamond-wedding-band-set-0-60-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr03709a-1_1.jpg"
"VR04093"	"10K Yellow Gold Diamond Wedding Band Set 0.76 Ctw"	"This lovely diamond wedding band set is crafted in 10K Yellow Gold. The engagement ring is adorned with small round cut diamonds and measures to 1/4 Inches in width. The engagement ring comes with a matching wedding band which features pave set round cut diamonds half way across the band and measures to 3/16 Inches in width. The set also includes mens diamond wedding band which measures to 3/8 Inches in width. This finely detailed diamond wedding band set weighs approximately 7.6 grams."	"Diamond Ring Set"	"/i/m/im-1_32.jpg"	""	"0.76 Ctw"	""	"Yellow"	"10K Gold"	"Micro Pave "	"1900.0000"	"634.0000"	""	"1.0000"	""	"H"	"SI1 , SI2"	"Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/3160/s/10k-yellow-gold-diamond-wedding-band-set-0-76-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//i/m/im-1_32.jpg"
"SDR4106"	"14K White Gold Diamond Wedding Band Set 6.25 Ctw"	"This glamorous diamond wedding ring set is crafted in lustrous 14K White Gold. The engagement ring features square shape center piece which is invisibly set with twenty five small princess cut diamonds and another set of princess cut diamonds channel set in three rows half way around the band. The engagement ring comes with a matching wedding band which also features small princess cut diamonds which are channel set half way around the band. The bridal ring set comes with a matching men's wedding band which is also adorned with small princess cut diamonds placed in three rows. The bridal set measures to 5/16 Inches in width and the men's ring measures to 3/8 Inches in width. Gleaming with absolute brilliance, this finely detailed diamond wedding ring set weighs approximately 19.1 grams. "	"Diamond Ring Set"	"/S/D/SDR4106-1.jpg"	""	"6.25 Ctw"	""	"White"	"14K Gold"	"Invisible, Pave"	"19750.0000"	"6584.0000"	""	"1.0000"	""	"G , H"	"SI1 , SI2"	"Princess"	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/4280/s/14k-white-gold-diamond-wedding-ring-set-6-25-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//S/D/SDR4106-1.jpg"
"SDR3495"	"14K White Gold Diamond Wedding Band Set 3.00 Ctw"	"This glamorous diamond wedding bamd set is crafted in lustrous 14K White Gold. The engagement ring and the womens wedding band are both adorned with numerous small princess cut invisibly set diamonds. The matching mens wedding band measures to 1/4 Inches in width and is also adorned with a set of small princess cut diamonds. This finely detailed diamond wedding three ring set weighs approximately 13 grams. "	"Diamond Ring Set"	"/S/D/SDR3495-4.jpg"	""	"3.00 Ctw"	""	"White"	"14K Gold"	"Invisible"	"11000.0000"	"3667.0000"	""	"1.0000"	""	"G , H"	"SI1 , SI2"	"Princess"	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/4281/s/14k-white-gold-diamond-wedding-ring-set-3-00-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//S/D/SDR3495-4.jpg"
