"Parentage"	"ProductName "	"Description "	"ItemType"	"image_link "	"Length"	"TotalMetalWeight "	"TotalDiamondWeight "	"gemstonecarat"	"MetalType "	"MetalStamp "	"SettingType "	"MSRP "	"ItemPrice "
"13799"	"14K White Gold Womens Diamond Pearl Earrings 1.50 Ctw "	"These elegant and alluring womens flower pearl earrings are crafted from highly polished 14K White Gold. Each earring is set with one pearl surrounded with brilliant pave set round cut diamonds. Very feminine and delicate in appearance, these earrings are suitable for every day wear. "	"Diamond Earring"	"/1/3/13799_1.jpg"	"1 Inches (25 mm) "	"1.0000"	"5.00 Ctw "	""	"White"	"14K Gold"	"Pave"	"8750.0000"	"2920.0000"
"11540"	"14K White Gold Womens Diamond Earrings 5.62 Ctw "	"The featured 14 karat diamond earrings are absolutely dazzling to the last detail. Brilliant pave set round cut diamonds highlight invisibly set baguette cut diamonds in the center. VS1 in clarity and G in color these brilliant stones come to a total carat weight of 5.62 ct. Very elegant in appearance, these are ideal earrings that guarantee onlookers attention. "	"Diamond Earring"	"/1/1/11540_1.jpg"	"1 Inches (25 mm) "	"1.0000"	"5.62 Ctw "	""	"White"	"14K Gold"	"Invisible, Pave"	"12000.0000"	"3999.0000"
"13639"	"14K White Gold Womens Diamond  Hoop Earrings 2.17 Ctw "	"These exquisite womens diamond hoop earrings are crafted in highly polished 14k white gold. Hoops feature brilliant VS1 round cut diamonds carefully placed on a prong setting. Carrying a total carat weight of 2.17 ct, these earrings weigh approximately 11 grams. These stylish earrings are ideal for an every day wear. "	"Diamond Earring"	"/1/3/13639_2.jpg"	"1 3/16 Inches (30 mm)"	"1.0000"	"2.17 Ctw "	""	"White"	"14K Gold"	"Prong "	"6750.0000"	"2250.0000"
"13624"	"14K White Gold Diamond Stud Earrings  2.97 Ctw "	"These featured 14 karat white gold diamond earrings are 2.97 carats of immensely brilliant diamonds. The earrings are invisibly and pave set with round and princess cut precious stones. These stones are G/H in color and SI1/SI3 in clarity. The width and the length of these brilliant earrings are 9/16 inches and the total gram weight is approximately 11 grams. For extra security, these earrings close with omega clasp. "	"Diamond Earring"	"/1/3/13624_1.JPG"	"9/16 Inches (14 mm)"	"1.0000"	"2.97 Ctw "	""	"White"	"14K Gold"	"Invisible, Pave"	"35500.0000"	"11834.0000"
"13962"	"14K White Gold  Diamond Solitaire Stud Earrings 0.51 Ctw "	"Brilliant round cut diamonds are carefully placed on a prong setting crafted in 14K White gold. These earrings are small and their centerpiece measure to approximately 3/16 inches. Very simple and elegant, they are ideal for both men and women. "	"Diamond Earring"	"/1/3/13962_1.JPG"	"3/16 Inches (4 mm)"	"1.0000"	"0.51 Ctw "	""	"White"	"14K Gold"	"Prong "	"1975.0000"	"659.0000"
"13148"	"14K White Gold Diamond Stud Earrings 0.40 Ctw "	"These simple diamond stud earrings are crafted in highly polished 14k white gold. A number of invisibly set princess cut diamonds highlight the center of these earrings. These are ideal for both men and women. "	"Diamond Earring"	"/1/3/13148_1.JPG"	"3/16 Inches (5 mm)"	"1.0000"	"0.40 Ctw "	""	"White"	"14K Gold"	"Invisible "	"1000.0000"	"339.0000"
"STUD26"	"14K White Gold Diamond Solitaire Stud Earrings 1.22 Ctw "	"These classic diamond solitaire stud earrings are crafted in 14K white gold. Brilliant round cut diamonds are prong set in the center of the earrings. They are ideal for both men and women. "	"Diamond Earring"	"/S/T/STUD26_2.JPG"	"3/16 Inches (4 mm)"	"1.0000"	"1.22 Ctw "	""	"White"	"14K Gold"	"Prong "	"5500.0000"	"1834.0000"
"15443"	"14K White Gold Cluster Diamond Stud Earrings 2.32 Ctw "	"These exquisite cluster diamond earring studs are crafted in 14KT white gold. Seven brilliant diamonds in each earring are placed on a prong setting to form a beautiful flower shape. These everyday fashion stud earrings gleam with beauty."	"Diamond Earring"	"/1/5/15443_1.JPG"	"3/8 inches (10.2 mm) "	"1.0000"	"2.32 Ctw "	""	"White"	"14K Gold"	"Prong "	"6000.0000"	"1999.0000"
"15444"	"14K White Gold Cluster Diamond Stud Earrings 1.47 Ctw "	"These exquisite cluster diamond stud earrings are crafted from fine 14KT white gold. Seven brilliant diamonds in each earring are placed on a prong setting to form a beautiful flower shape. These everyday fashion stud earrings gleam with beauty."	"Diamond Earring"	"/1/5/15444_1.JPG"	"5/16 inches (8.7 mm)"	"1.0000"	"1.47 Ctw "	""	"White"	"14K Gold"	"Prong "	"3750.0000"	"1249.0000"
"EM095YWB"	"14K Yellow Gold Diamond Stud Earrings with Yellow Diamonds 1.22 Ctw "	"14K White Gold Unisex Diamond Stud Earrings feature brilliant white and yellow princess cut diamonds on an invisible setting. Very stylish and modern these unisex diamond earrings are ideal for an every day fashion apparel. "	"Diamond Earring"	"/E/M/EM095YW_1_1.JPG"	"3/8 inches (9mm)"	"1.0000"	"1.22 Ctw "	""	"Yellow"	"14K Gold"	"Invisible"	"2825.0000"	"949.0000"
"EM023"	"14K White Gold Diamond Stud Earrings with Black Diamonds 5.29 Ctw "	"These charming 14 karat white gold diamond earrings feature invisible set princess cut black in color SI1/SI3 in clarity diamonds and the classic white diamonds that are G/H in color and VS1/VS2 in clarity, for a total carat weight of 5.29 carats. Designed in a checker pattern for a very modern yet classy look. The omega clasp back locks your earrings in place, for a safe and comfortable wear. The earrings measure 9/16 inches (14mm) in length and width, and weight out to approximately 8 grams. "	"Diamond Earring"	"/E/M/EM023_1.jpg"	"9/16 inches (14 mm) "	"1.0000"	"5.29 Ctw "	""	"White"	"14K Gold"	"Invisible "	"9500.0000"	"3167.0000"
"ER-005Y"	"14K White Gold Diamond Stud Earrings with Yellow Diamonds 2.23 Ctw "	"14K White Gold Diamond Stud earrings feature brilliant invisibly set white and yellow diamonds. These princess cut stones are carefully placed in the center piece to create a checker pattern design for a more modern appearance. "	"Diamond Earring"	"/I/M/IMG_8635_1.jpg"	"3/8 inches (10.2 mm) "	"1.0000"	"2.23 Ctw "	""	"White"	"14K Gold"	"Invisible"	"5375.0000"	"1792.0000"
"EM094"	"14K White Gold Diamond Stud Earrings 1.11 Ctw "	"Very simple and classy, these stud earrings are invisible set with countless, sparkling G/I in color SI2/SI3 in clarity white diamonds, the total carat weight of these earrings is .1.11 carats. Highly polished in 14 karat white gold, for a total gram weight of approximately 3 grams."	"Diamond Earring"	"/E/M/EM094_1.JPG"	"3/8 inches (9mm)"	"1.0000"	"1.11 Ctw "	""	"White"	"14K Gold"	"Invisible"	"3150.0000"	"1050.0000"
"EM095"	"14K White Gold Diamond Stud Earrings 1.41 Ctw "	"Very impressive and mesmerizing in style and fashion these 14KT white gold diamond earrings, are adorned with countless G/H in color, SI1/SI2 in clarity princess cut diamonds, for a total carat weight of 1.41 carats of dazzling diamonds. The earrings measure out to 3/8inches (9mm) in length and width, for total gram weight of approximately 4 grams. The earrings are made with a push back lock,for a secure and comfortable wear. These are ideal for both men and women."	"Diamond Earring"	"/E/M/EM095_1.jpg"	"3/8 inches (9mm) "	"1.0000"	"1.41 Ctw "	""	"White"	"14K Gold"	"Invisible"	"4250.0000"	"1417.0000"
"EM096Y"	"14K White Gold Diamond Stud Earrings with Yellow Diamonds 1.65 Ctw "	"14K White Gold Diamond Earrings feature brilliant yellow and white colored diamonds. The center piece is invisibly set with G/H/Yellow and SI1/SI2 princess cut diamonds. For extra security, these earrings close with push on backs. "	"Diamond Earring"	"/I/M/IMG_8736copy_2.jpg"	"3/8 inches (9mm) "	"1.0000"	"1.65 Ctw "	""	"White"	"14K Gold"	"Invisible"	"4500.0000"	"1500.0000"
"ER087WY"	"14K White Gold Diamond Stud Earrings with Yellow Diamonds 1.74 Ctw "	"Twelve brilliant yellow in color, VS1/VS2 in clarity princess cut diamonds, are invisibly set around four G/H in color, VS1/VS2 in clarity princess cut diamonds.14 karat highly polished, white gold frame is 3/8 inches in length and width for a total weight of  3 grams. These are ideal for both men and women. "	"Diamond Earring"	"/2/_/2_2_2.jpg"	"5/16 Inches (8.4 mm)"	"1.0000"	"1.74 Ctw "	""	"White"	"14K Gold"	"Invisible "	"3375.0000"	"1125.0000"
"10474"	"18K White Gold Womens Diamond Coral Earrings 0.88 Ctw "	"Fashionable and intricate, these gemstone earrings have pave set, black round cut diamonds with a total carat weight of 0.88 ct. The earrings are 18k white gold. These earrings also have a semiprecious sapphire on the right side and features a heart shaped lustrous coral in the center on the piece. This is a very unique designer piece that will surely define your high class and set you apart from the rest. "	"Diamond Earring"	"/1/0/10474_1.JPG"	"7/8 Inches (22 mm)"	"1.0000"	"0.88 Ctw "	""	"White"	"18K Gold"	"Prong "	"10725.0000"	"3579.0000"
"14597"	"18K White Gold Womens Pink Diamond Earrings 1.50 Ctw "	"This sparkling 18k gold women’s designer earrings features round cut diamonds that are pave and channel set. These dazzling pink diamonds weight 1.10 ct. Your lady will fall in love with this amazing earrings adorned with 0.40 carats of quality G-H white round cut diamonds held with pave settings in a solid 18k gold band. The complete look of this women’s earring is truly breathtaking. See our other items for matching ring and bracelet. "	"Diamond Earring"	"/1/4/14597_1.JPG"	"11/16 inches (17 mm)"	"1.0000"	"1.50 Ctw "	""	"White"	"18K Gold"	"Channel, Prong"	"11500.0000"	"3834.0000"
"EM096YB"	"14K White Gold  Diamond Stud Earrings 1.65 Ctw "	"These 14K white gold unisex diamond earrings studs are highlighted with brilliant yellow and white diamonds. These princess cut  stones are invisibly set in the center, totaling to 1.65 ctw. Push back lock holds these stud earrings securely in place. "	"Diamond Earring"	"/I/M/IMG_8736.jpg"	"3/8 inches (9 mm) "	"1.0000"	"1.65 Ctw "	""	"White"	"14K Gold"	"Invisible"	"3500.0000"	"1169.0000"
"ER0228Y"	"14K White Gold Yellow Diamond Stud Earrings 0.36 Ctw "	"These small Yellow Diamond Earring Studs  are crafted in 14K white gold. The center piece is invisibly set with four brilliant yellow princess cut diamonds. These studs close with screw on backs for extra security. "	"Diamond Earring"	"/E/R/ER0228Y_2_1.JPG"	"3/16 Inches(4.5 mm)"	"1.0000"	"0.36 Ctw "	""	"White"	"14K Gold"	"Invisible"	"780.0000"	"260.0000"
"EM094WY"	"14K White Gold Diamond Stud Earring with Yellow Diamonds 1.11 Ctw "	"Crafted in highly polished 14K white gold, these fashion diamond stud earrings feature brilliant white and yellow diamonds. These SI1/SI2 stones are invisibly set in the center of each earring. For extra security, they close with a push back. "	"Diamond Earring"	"/I/M/IMG_8304.jpg"	"5/16 Inches (8 mm)"	"1.0000"	"1.11 Ctw "	""	"White"	"14K Gold"	"invisible "	"2975.0000"	"992.0000"
"ER396W5"	"14K White Gold Diamond Stud Earrings with Blue and Yellow Diamonds 2.69 Ctw "	"These 14K white gold  earring studs feature brilliant yellow, white and blue princess cut diamonds invisibly set in the center of each earring. Screw back lock each stud for a safe and secure wear. "	"Diamond Earring"	"/E/R/ER396W5_1.jpg"	"7/16 Inches (11 mm)"	"1.0000"	"2.69 Ctw "	""	"White"	"14K Gold"	"Invisible "	"5750.0000"	"1917.0000"
"14866"	"14K White Gold Diamond Stud Earrings 1.50 Ctw "	"Extremely luminous and incredibly brilliant these featured 14 karat white gold diamond earrings embody pure shine. Invisible set with pristine princess cut diamonds that are G/H in color and VS1/VS2 in clarity. A tight screw back locks the earrings in place for a sturdy and comfortable wear. "	"Diamond Earring"	"/1/4/14866_2.JPG"	"5/16 Inches (8 mm)"	"1.0000"	"1.50 Ctw "	""	"White"	"14K Gold"	"Invisible"	"4000.0000"	"1339.0000"
"15050"	"14K Yellow Gold Diamond Solitaire Stud Earring 1.10Ctw "	"Classic diamond solitaire earring studs feature brilliant princess cut diamond on each stud held by a prong setting. Crafted in highly polished 14K yellow gold. these earrings are ideal for both men and women. "	"Diamond Earring"	"/1/5/15050_1.JPG"	"3/16 Inches (5 mm)"	"1.0000"	"1.10 Ctw"	""	"Yellow"	"14K Gold"	"Prong"	"5938.0000"	"1989.0000"
"ER0225"	"14K White Gold Yellow Diamond Stud Earrings 0.75 Ctw "	"These yellow diamond earring studs are crafted in highly polished 14k white gold. The center piece of each earring features four brilliant invisibly set yellow princess cut diamonds. For extra security, they close with a screw back. These are ideal earring studs for both men and women. "	"Diamond Earring"	"/E/R/ER0225_1.JPG"	"1/4 Inches (6 mm)"	"1.0000"	"0.75 Ctw "	""	"White"	"14K Gold"	"Invisible"	"1225.0000"	"409.0000"
"EM137"	"18K White Gold Diamond Stud Earrings 1.87 ctw"	"These stunning 18K Gold Diamond Earring Studs feature clean white diamonds amounting to 1.87 carats in total carat weight. Possessing amazing diamond quality and even more profound craftsmanship, this sparkling set of G-color, VS1/VS2 clarity  Diamond Earring Studs make the perfect gift."	"Diamond Earring"	"/2/_/2_1.jpg"	""	"4.6700"	"1.87 Ctw "	""	"White"	"18K Gold"	"Invisible"	"2075.0000"	"692.0000"
"ER5309"	"14K White Gold Womens Diamond Hoop Earrings 0.71 Ctw"	"These elegant womens diamond hoop earrings are crafted in highly polished 14K White Gold. The front side features brilliant small princess cut diamonds held by an invisible setting. These alluring diamond hoop earrings are ideal for an every day casual wear."	"Diamond Earring"	"/I/M/IMG_0780.JPG"	"11/16 inches (17 mm)"	"1.0000"	"0.71 Ctw "	""	"White"	"14K Gold"	"Invisible"	"1750.0000"	"584.0000"
"ER5115"	"14K White Gold Womens Diamond Earrings 2.83 Ctw"	"These exquisite omega clasp womens diamond earrings features brilliant princess cut diamonds held by an invisible setting. The sides are pave set with small round cut diamonds. Crafted in highly polished 14K white gold, these diamond earrings are ideal for a special or casual wear."	"Diamond Earring"	"/I/M/IMG_0766.JPG"	"3/4 Inches (18 mm)"	"1.0000"	"2.83 Ctw"	""	"White"	"14K Gold"	"Pave, Invisible "	"7850.0000"	"2617.0000"
"ER0066"	"14K White Gold Womens Diamond Square Hoop Earrings 0.40 Ctw"	"These unique womens diamond earrings are crafted in 14K white gold. They feature two rows of small round cut diamonds held by a pave setting. These womens diamond earrings  securely lock with a clip back closure. "	"Diamond Earring"	"/I/M/IMG_0971.JPG"	"13/16 Inches (20 mm)"	"1.0000"	"0.40 Ctw"	""	"White"	"14K Gold"	"Pave"	"1750.0000"	"584.0000"
"E0019"	"14K White Gold Womens Diamond Earrings 1.67 Ctw"	"These elegant womens diamond earrings are crafted in highly polished 14K White Gold. The center is highlighted with brilliant princess and round cut diamonds. These diamond earrings are ideal for accessory for an every day casual or special wear."	"Diamond Earring"	"/I/M/IMG_0795.JPG"	"5/8 Inches (16 mm)"	"1.0000"	"1.67 Ctw"	""	"White"	"14K Gold"	"Invisible, Pave"	"4500.0000"	"1500.0000"
"ER052"	"14K White Gold Womens Diamond Earrings 1.53 Ctw"	"These exquisite womens diamond earrings are crafted in lustrous 14K White Gold. Two square center pieces hang on two hearts and showcase two hanging small prong settings with four princess cut diamonds. Fine to the last detail, these diamond earrings are ideal for a special wear."	"Diamond Earring"	"/e/r/er052-1.jpg"	"7/8 Inches (22 mm)"	"1.0000"	"1.53 Ctw "	""	"White"	"14K Gold"	"Prong "	"3975.0000"	"1325.0000"
"ER591"	"18K White Gold Womens Diamond Earrings 1.26 Ctw"	"These exquisite womens diamond earrings are crafted in 18K white gold. The center is pave set with small round cut diamonds and channel set with baguette cut diamonds. These omega clasp womens diamond earrings gleam with beauty and elegance."	"Diamond Earring"	"/I/M/IMG_0809.JPG"	"3/4 Inches (18 mm)"	"1.0000"	"1.26 Ctw "	""	"White"	"18K Gold"	"Pave, Channel "	"3750.0000"	"1250.0000"
"ER5974A"	"14K White Gold Womens Diamond Sapphire Earrings 0.79 Ctw"	"These elegant womens diamond earrings are crafted in 14K white gold.  The center feature elegant designs which are highlighted with round cut diamonds and pink sapphires. These earrings carry a total of 0.79 carat diamonds and 0.60 carat pink sapphires. Ideal for a special night out, these omega clasp diamond earrings gleam with beauty."	"Diamond Earring"	"/I/M/IMG_0823.JPG"	"13/16 Inches (21 mm) "	"1.0000"	"0.79 Ctw"	""	"White"	"14K Gold"	"Prong "	"4000.0000"	"1334.0000"
"ER4351B"	"14K White Gold Womens Diamond Hoop Earrings 1.05 Ctw"	"These simple yet elegant diamond earrings feature round cut diamonds channel set around the frame. Crafted in 14K white gold, these are ideal diamond earrings for an every day casual wear. "	"Diamond Earring"	"/I/M/IMG_0985.JPG"	"11/16 inches (17 mm)"	"1.0000"	"1.05 Ctw"	""	"White"	"14K Gold"	"Channel "	"1875.0000"	"625.0000"
"ER5310"	"14K Yellow Gold Womens Diamond Hoop Earrings 0.82 Ctw"	"These elegant womens diamond earrings are crafted in lustrous 14K Yellow Gold. The center features two rows of small princess cut diamonds held by an invisible setting. these diamond earrings weigh approximately 7.3 grams. "	"Diamond Earring"	"/I/M/IMG_0995.JPG"	"13/16 Inches (20 mm)"	"1.0000"	"0.82 Ctw"	""	"Yellow"	"14K Gold"	"Invisible "	"2375.0000"	"799.0000"
"ER4352A"	"14K White Gold  Womens Diamond Hoop Earrings 0.93 Ctw"	"These elegant womens diamond earrings are crafted in lustrous 14K White Gold. The center and the back of the earrings are channel set with small princess cut diamonds. These alluring diamond earrings are ideal for an every day wear."	"Diamond Earring"	"/e/r/er4352a-1.jpg"	"11/16 inches (17 mm)"	"1.0000"	"0.93 Ctw"	""	"White"	"14K Gold"	"Channel"	"1500.0000"	"500.0000"
"EM086WY"	"14K White Gold Womens Diamond Hoop Earrings 0.95 Ctw"	"These delicate womens diamond earrings are crafted in 14K white gold. The center is invisibly set with yellow and white princess cut diamonds. These alluring womens diamond earrings are ideal for an every day casual wear. "	"Diamond Earring"	"/I/M/IMG_8406copy.jpg"	"5/8 Inches (16 mm) "	"1.0000"	"0.95 Ctw"	""	"White"	"14K Gold"	"Invisible "	"2250.0000"	"750.0000"
"ER180"	"14K White Gold Womens Diamond Earrings 0.75 Ctw"	"These unique womens diamond earrings are crafted in 14K white gold. The center is channel set with five rows of  round cut diamonds. These simple yet elegant diamond earrings are ideal for a special or casual wear."	"Diamond Earring"	"/I/M/IMG_1006.JPG"	"13/16 Inches (21 mm)"	"1.0000"	"0.75 Ctw"	""	"White"	"14K Gold"	"Channel "	"1975.0000"	"659.0000"
"ER776BG"	"14K White Gold Womens Diamond Earrings 1.78 Ctw"	"These exquisite womens diamond earrings are crafted in highly polished 14K white gold. The uniquely designed center piece is channel set with five rows of baguette cut diamonds. These flawless omega clasp womens diamond earrings are ideal for a casual or special wear."	"Diamond Earring"	"/I/M/IMG_0941_1.JPG"	"13/16 Inches (20 mm)"	"1.0000"	"1.78 Ctw"	""	"White"	"14K Gold"	"Channel "	"4000.0000"	"1334.0000"
"ER-11510"	"14K White Gold Womens Diamond Huggie Earrings 0.15 Ctw"	"These charming small diamond womens  earrings feature three bezel set round cut diamonds on each earring. The frame is crafted in highly lustrous 14K White Gold. These elegant diamond earrings are ideal for an every day casual wear."	"Diamond Earring"	"/I/M/IMG_1025.JPG"	"7/16 Inches (11.5 mm)"	"1.0000"	"0.15 Ctw"	""	"White"	"14K Gold"	"Bezel "	"600.0000"	"249.0000"
"ER4551"	"14K White Gold Womens Diamond Earrings  2.77 Ctw"	"These alluring womens diamond earrings gleam with sophistication and beauty. The center features invisibly set small princess cut diamonds and three rows of pave set round cut diamonds. These securely lock with omega clasp back. Crafted in highly polished 14K White Gold, these womens diamond earrings are an ideal fassion accessory for a glamorous night out."	"Diamond Earring"	"/e/r/er4551-1.jpg"	"7/8 Inches (22 mm)"	"1.0000"	"2.77 Ctw"	""	"White"	"14K Gold"	"Pave, Invisible "	"7850.0000"	"2617.0000"
"ER4549"	"14K White Gold Womens Diamond Earrings  2.50 Ctw"	"These strikingly exquisite womens diamond earrings are crafted in lustrous 14K White Gold. The uniquely shaped center piece is invisibly set with numerous small princess cut diamonds and two rows of channel set round cut diamonds. These womens diamond earrings weigh approximately 13.3 grams. "	"Diamond Earring"	"/e/r/er4549a-1.jpg"	"3/4 Inches (18 mm)"	"1.0000"	"2.50 Ctw"	""	"White"	"14K Gold"	"Invisible, Channel "	"7450.0000"	"2484.0000"
"ER089"	"14K White Gold Womens Diamond Huggie Earrings 3.06 Ctw"	"These exquisite womens diamond huggie earrings are crafted in lustrous 14K White Gold. Featured in the center, are invisibly set princess cut diamonds surrounded by small pave round cut yellow diamonds. Fine to the last detail, these diamond earrings are ideal for a special night out."	"Diamond Earring"	"/e/r/er089-1.jpg"	"13/16 Inches (20 mm)"	"1.0000"	"3.06 Ctw"	""	"White"	"14K Gold"	"Invisible, Pave"	"7650.0000"	"2550.0000"
"EM089A"	"14K White Gold Womens Diamond Huggie Earrings 2.89 Ctw"	"These exquisite womens diamond huggie earrings are crafted in lustrous 14K White Gold. Featured in the center, are invisibly set princess cut diamonds surrounded by small pave round cut  diamonds. Fine to the last detail, these diamond huggie earrings are ideal for a special night out."	"Diamond Earring"	"/e/m/em089a-1.jpg"	"13/16 Inches (20 mm)"	"1.0000"	"2.89 Ctw"	""	"White"	"14K Gold"	"Invisible, Pave"	"8000.0000"	"2667.0000"
"ER5306"	"14K White Gold Womens Diamond Hoop Earrings 0.61 Ctw"	"These elegant womens diamond earrings are crafted in 14K white gold. The center is highlighted with two rows of invisibly set princess cut diamonds. These alluring diamond earrings are ideal for an every day casual wear."	"Diamond Earring"	"/e/r/er2330-1_1.jpg"	"11/16 Inches (17.6 mm)"	"1.0000"	"0.61 Ctw "	""	"White"	"14K Gold"	"Invisible "	"2150.0000"	"717.0000"
"ER3593"	"14K Yellow Gold Womens Diamond Sapphire  Earrings 0.91 Ctw"	"These exquisite womens sapphire earrings are crafted in lustrous 14K Yellow Gold. Each earring is pave set with small round cut diamonds and four blue round cut sapphires.The total carat weight for these blue sapphires is 0.38 carats and the total carat weight for round cut diamonds is 0.91 carats.  These finely detailed sapphire earrings weigh approximately 9.5 grams. "	"Diamond Earring"	"/I/M/IMG_0934_2.JPG"	"13/16 Inches (21 mm)"	"1.0000"	"0.91 Ctw"	""	"Yellow"	"14K Gold"	"Pave"	"2344.0000"	"782.0000"
