"Billing address","Faktureringsadresse"
"Enable LightCheckout","Aktiver LightCheckout"
"Default Country","Standard Land"
"Default Shipping Method","Standard Fraktmetode"
"Default Payment Method","Standard Betalingsmetode"
"Page Title","Sidetittel"
"Page Content","Side-innhold"
"Enable Different Shipping Address","Aktiver Endret Leveranse-adresse"
"Enable Delivery Date","Aktiver Leveringsdato"
"Enable GeoIP for Country","Aktiver GeoIP for Land"
"Registration","Registrering"
"Checkout Mode","Utsjekkingsmåte"
"Registered and guest customers","Registrerte og gjestekunder"
"Only registered customers","Kun registrerte kunder"
"Only guest customers","Kun gjestekunder"
"Enable/Disable Fields","Aktiver/Kople ut Adressefeltene"
"Region","Region"
"Zip/Postcode","Postnummer"
"Newsletter Checkbox","Nyhetsbrev Avmerkningsrute"
"Sort Address Fields","Sortere Adressefelter"
"Company Order","Selskap Bestilling"
"Country Order","Land Bestilling"
"City Order","By Bestilling"
"Telephone Order","Telefon Bestilling"
"Fax Order","Fax Bestilling"
"State/Region Order","Region Bestilling"
"Address Order","Adresse Bestilling"
"Zip/Postcode Order","Postnummer Bestilling"
"Terms & Conditions","Vilkår og Betingelser"
"Enable Terms and Conditions","Aktiver Vilkår og Betingelser"
"Terms and Conditions Text","Vilkår og Betingelser Tekst"
"Popup Width in Pixels","Popup Bredde i Pixler"
"Popup Height in Pixels","Popup Høyde i Pixler"
"Enable","Aktiver"
"Disable","Kople ut"
"Required","Obligatorisk"
"Optional","Valgfritt"
"Yes","Ja"
"No","Nei"
"Select a billing address","Velg faktureringsadresse"
"Select a shipping address","Velg leveranseadresse"
"Buy without VAT (for EU only)","Kjøp uten MVA (kun EU)"
"Apply Coupon","Bruk kupong"
"Discount codes","Rabattkoder"
"Subtotal","Subtotal"
"Grand Total","Totalsum"
"Product Name","Produktnavn"
"Price","Pris"
"Qty","Ant."
"Remove item","Fjern vare"
"What is this?","Hva er dette?"
"Card Verification Number","Kortets verifikasjonnummer"
"Expiration Date","Utløpsdato"
"Credit Card Type","Korttype"
"Credit Card Number","Kortnummer"
"Name on Card","Navn på kortets eier"
"Expiration Date","Utløpsdato"
"Please select region, state or province","Vennligst velg region, stat eller provins"
"--Please Select--","--Vennligst Velg--"
"LightCheckout Skin","LightCheckout Skin"
"Allow to change Qty","Tillat å endre ant."
"Allow to Remove Item from Checkout","Tillat å Fjerne Vare fra Utsjekking"
"Disable Cart","Deaktiver Handlevogn"
"Enable Discount Codes","Aktiver Rabattkoder"
"Yes, checkbox is checked","Ja, avmerkingsfeltet er merket av"
"Yes, checkbox is unchecked","Ja, avmerkingsfeltet er ikke merket av"
"Create an Account checkbox","Opprett en Konto avmerkingsfelt"
"Available Delivery Days","Tilgjengelige Leveransedager"
"Available Delivery from, hours","Levering Tilgjengelig fra, klokken"
"Available Delivery to, hours","Levering Tilgjengelig til, klokken"
"Set Interval for Delivery, days","Sett intervaller for Levering, dager"
"Enable GeoIP for Zip/Postcode","Aktiver GeoIP for Postnummer"
"Enable GeoIP for City","Aktiver GeoIP for By"
"Enable Ajax for Country","Aktiver Ajax for Land"
"Enable Ajax for State/Region","Aktiver Ajax for Stat/Region"
"Enable Ajax for Zip/Postcode","Aktiver Ajax for Postnummer"
"Enable Ajax for City","Aktiver Ajax for By"
"Show Address Book","Vis Adressebok"
"State/Region","Stat/Region"
"Enable EU VAT Option","Aktiver EU MVA-Alternativ"
"Base EU Country","Politiske EU-land"
"B2C & B2B (Base EU Country)","B2C & B2B (Politiske EU-land)"
"B2C & B2B (within EU, not Base EU Country)","B2C & B2B (innenfor EU, men ikke et Politisk EU-land. "
"VAT/Tax Rule","MVA/Skatt"
"Show Buy without VAT checkbox","Vis Kjøp uten MVA avmerkingfelt"
"Text under VAT/Tax field","Tekst under MVA/Skatt-felt"
"EU VAT/Tax Settings","EU MVA/Skatt Innstillinger"
"Without VAT if VAT Number is Verified","Uten MVA hvis MVA-nummer er Vertifisert"
"Without VAT","Uten MVA"
"With VAT","Med MVA"
"Yes, checked","Ja, merket av"
"Yes, unchecked","Ja, umerket"
"Delivery Date","Leveransedato"
"GeoIP Settings","GeoIP-innstillinger"
"Ajax Settings","Ajax-innstillinger"
"Yes, before Order Review","Ja, før Ordreoversikt"
"Yes, after Order Review","Ja, etter Ordreoversikt"
"Selected Days","Valgte Dager"
"All Days","Alle Dager"
"Activation","Aktivering"
"Activation Key","Aktiveringsnøkkel"
"Select Websites","Velg Nettsider"
"GoMage LightCheckout","GoMage LightCheckout"
"Unchecked","Umerket"
"Checked","Avmerket"
"Enable, unchecked","Aktiver, umerket"
"Enable, checked","Aktiver, avmerket"
"To use GeoIP you need to upload GeoliteCity.dat file to folder /media/geoip. Read more in the <a target=""_blank"" href=""%s"">Installation Guide</a>","For å bruke GeoIP må du last opp filen GeoliteCity.dat til mappen /media/geoip. Les mer i <a target=""_blank"" href=""%s"">Installasjons Guiden</a>"
"Select Date","Velg Dato"
"Buttons View","Forhåndsvisning for Bokser"
"Please enter a valid VAT.","Vennligst oppgi gyldig MVA"
"None","Ingen"
"Use Сtrl + left mouse button to select the days","Brukt Ctrl + venstreklikk for å velge dager"
"Please enter a valid key.","Vennligst oppgi gyldig nøkkel."
"Gift Wrapping","Gift Wrapping"
