"Billing address","Endereço de cobrança"
"Enable GeoIP for Zip/Postcode","Permitir GeoIP para ZIP/ Código Postal"
"Enable GeoIP for City","Permitir GeoIP para cidade"
"Enable Ajax for Country","Permitir Ajax para País"
"Enable Ajax for State/Region","Permitir Ajax para concelho, região"
"Enable Ajax for Zip/Postcode","Permitir Ajax para ZIP/ código postal"
"Enable Ajax for City","Permitir Ajax para cidade"
"Show Address Book","Mostrar contactos"
"State/Region","Concelho/ Região"
"Enable EU VAT Option","Permitir opção IVA (UE)"
"Base EU Country","País base na EU"
"B2C & B2B (Base EU Country)","B2C & B2B (País base na UE)"
"B2C & B2B (within EU, not Base EU Country)","B2C & B2B (dentro UE, não País base na UE)"
"VAT/Tax Rule","Regra IVA"
"Show Buy without VAT checkbox","Mostrar compra sem caixa de verificação do IVA"
"Text under VAT/Tax field","Texto debaixo do campo IVA "
"EU VAT/Tax Settings","Configurações de IVA"
"Without VAT if VAT Number is Verified","Sem IVA se número IVA verificado"
"Without VAT","sem IVA"
"With VAT","com IVA"
"Yes, checked","Sim, verificado"
"Yes, unchecked","Sim, não verificado"
"Delivery Date","Data de entrega"
"GeoIP Settings","Configurações GeoIP"
"Ajax Settings","Configurações Ajax"
"Yes, before Order Review","Sim, antes de verificar Pedido"
"Yes, after Order Review","Sim, depois de verificar Pedido"
"Selected Days","Dias seleccionados"
"All Days","Todos os dias"
"Activation","Activação"
"Activation Key","Chave de activação"
"Select Websites","Seleccione websites"
"GoMage LightCheckout","GoMage LightCheckout"
"Unchecked","Não verificado"
"Checked","Verificado"
"Enable, unchecked","Permitir não verificado"
"Enable, checked","Permitir verificado"
"To use GeoIP you need to upload GeoliteCity.dat file to folder /media/geoip. Read more in the <a target=""_blank"" href=""%s"">Installation Guide</a>","Para utilizar o GeoIP deve aceder a GeoliteCity.dat arquivo na pasta /media/geoip. Leia mais em <a target=""_blank"" href=""%s"">Guia Instalação</a>"
"Select Date","Seleccione data"
"Buttons View","Vista de botões"
"Please enter a valid VAT.","Por favor insira IVA válido"
"None","Nenhum"
"Use Сtrl + left mouse button to select the days","Para seleccionar os dias, prima ctrl e o botão esquerdo do rato"
"Please enter a valid key.","Por favor insira uma chave válida"
"Gift Wrapping","Gift Wrapping"
