"Manufacturer Part #"	"Manufacturer"	"Product Name"	"Product Description"	"Category: Nextag Numeric ID"	"Price"	"Product Condition"	"MSRP"	"Stock Status"	"Click-Out URL"	"Image URL"
"R1785"	"Avianne & Co"	"14K White Gold  Diamond Bridal Ring Set 0.79 Ctw"	"This alluring womens diamond bridal ring set is crafted in highly polished 14K White Gold. The engagement ring features invisibly set princess cut diamonds and channel set round cut side stones. The matching wedding band also features small round cut channel set diamonds. These diamonds are H/I in color, SI in clarity and weigh 0.79 carats. Weighing approximately 6.7 grams, these bands gleam with beauty and elegance."	"2700318 : More Categories / Clothing & Accessories / Jewelry & Watches / Rings"	659	"new"	1975	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/286/s/14k-white-gold-womens-diamond-bridal-engagement-ring-set-0-69-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//R/1/R1785_1.jpg"
"RM-366"	"Avianne & Co"	"14K White Gold Diamond Wedding Band Set 0.75 Ctw "	"These bands are adorned with glistening round and baguette cut diamonds, that are G/H in color, SI1/SI2 In clarity, that are channel set, with the total carat weight of .75 carats for both rings. 1/8 inches ( 4mm) in width, the total gold weight for both rings is approximately 7 grams. Highly polished in a 14 karat white gold frame, these classical wedding bands are ideal for him and her. "	"2700318 : More Categories / Clothing & Accessories / Jewelry & Watches / Rings"	629	"new"	1875	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/292/s/14k-white-gold-diamond-wedding-band-set-0-75-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//R/M/RM-366_1.JPG"
"R108"	"Avianne & Co"	"14K White Gold Diamond Engagement Ring Setting 1.00 ctw"	"This 14 karat white gold engagement ring diamond setting will have everyone flattering you for your good taste when you show off its intricately designed solid 14 karat gold and brilliant high-quality diamonds. These fabulous diamonds are G/H in color and SI1/SI3 in clarity. This marvelous ring features round cut precious stones in a pave setting. "	"2700318 : More Categories / Clothing & Accessories / Jewelry & Watches / Rings"	642	"new"	1925	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/296/s/14k-white-gold-womens-diamond-engagement-ring-setting-1-00-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//R/1/R108_2.jpg"
"R4221B"	"Avianne & Co"	"14K White Gold Diamond Engagement Ring 0.89 ctw "	"This elegant 14k white gold diamond engagement ring features 0.89 carats of invisible set white princess cut diamonds that sparkle with an everlasting brilliance. This women's ring is the perfect display of commitment and undying love. "	"2700318 : More Categories / Clothing & Accessories / Jewelry & Watches / Rings"	500	"new"	1500	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/307/s/14k-white-gold-womens-diamond-engagement-ring-0-89-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//r/4/r4221-1w.jpg"
14509	"Avianne & Co"	"14K White Gold Womens Diamond Wedding Band 0.42 Ctw"	"This classic 14K gold women's diamond wedding band ring features exquisitly set sparkling round cut diamonds. This ring has a truly beautiful design that will stun that love of your life! "	"2700318 : More Categories / Clothing & Accessories / Jewelry & Watches / Rings"	667	"new"	2000	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/310/s/14k-white-gold-womens-diamond-wedding-band-0-42-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//1/4/14509-1.jpg"
10772	"Avianne & Co"	"14K White Gold Mens Diamond Wedding Band 0.90 Ctw"	"This handsome 14K gold men's diamond wedding band features exquisite 0.90 carats of diamonds set in an invisible setting. A timeless engagement of white diamonds skillfully set in 14K luxurious gold will leave everyone speechless. "	"2700318 : More Categories / Clothing & Accessories / Jewelry & Watches / Rings"	759	"new"	2250	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/311/s/14k-white-gold-mens-diamond-wedding-band-ring-0-90-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//1/0/10772_2.jpg"
10376	"Avianne & Co"	"14K White Gold Womens Diamond Wedding Band 0.25 Ctw"	"This 14K gold women's diamond wedding Band ring has 0.25 carats of sparkling white round cut diamonds channel set into this beautiful 14k gold frame. Display your good taste and your love with this beautiful ring. "	"2700318 : More Categories / Clothing & Accessories / Jewelry & Watches / Rings"	659	"new"	1975	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/312/s/14k-white-gold-womens-diamond-wedding-band-0-42-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//1/0/10376-1.jpg"
13975	"Avianne & Co"	"18K White Gold Womens Diamond Necklace 0.34 Ctw "	"This lovely butterfly womens diamond necklace is crafted from highly polished 18K white gold. 18 Inch white gold chain holds three butterflies which are prong set with brilliant VS1 round cut diamonds. This is a beautiful necklace which portrays femininity and style. "	"                 2700320 : More Categories / Clothing & Accessories / Jewelry & Watches / Necklaces "	589	"new"	1750	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/315/s/18k-white-gold-womens-diamond-necklace-0-34-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//1/3/13975_1_1.jpg"
"R260"	"Avianne & Co"	"14K White Gold Diamond Engagment Ring 0.75 Ctw"	"Very unique and delicate looking, this diamond engagement ring is sure to catch attention. Crafted in highly polished 14k white gold and decorated with 0.75 carats. This ring has round and princess cut diamonds beautifully set around the ring in an intricate design. "	"2700318 : More Categories / Clothing & Accessories / Jewelry & Watches / Rings"	659	"new"	1975	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/317/s/14k-white-gold-womens-diamond-engagment-ring-0-75-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//R/2/R260_2.jpg"
"R234W"	"Avianne & Co"	"14K White Gold Diamond Engagement Ring 0.80 Ctw "	"This gorgeous 14k white gold women's diamond engagement ring is a powerful display of everlasting love. With its dazzling 0.80 carats of round and princess cut diamonds pave, invisible, and prong set into a 14k gold band, this Women's Ring achieves a brilliance unheard of in most women's diamond engagement rings. Surprise your loved one with this round and princess cut diamond ring today! "	"2700318 : More Categories / Clothing & Accessories / Jewelry & Watches / Rings"	709	"new"	2125	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/319/s/14k-white-gold-womens-diamond-engagement-ring-0-80-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//R/2/R234W_2.jpg"
14348	"Avianne & Co"	"14K White Gold Womens Diamond Apple Pendant 0.34 Ctw"	"Very lively and appealing in appearence, this apple diamond womens pendant is crafted in highly polished 14K white gold. Small round cut diamonds are carefully placed on prong setting to contribute to its gleaming appearance. Possessing femininity and uniqueness, this is a perfect pendant for an every day wear. Note: The chain is used for illustration purposes only and can be purchased separately. "	"                 2700324 : More Categories / Clothing & Accessories / Jewelry & Watches / Pendants "	584	"new"	1750	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/327/s/14k-white-gold-womens-diamond-apple-pendant-0-34-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//1/4/14348-1.jpg"
10677	"Avianne & Co"	"14K White Gold Womens Diamond Cross 0.35 Ctw "	"14K White Gold Womens Diamond Cross features brilliant bar set small round cut diamonds. "	"                 2700324 : More Categories / Clothing & Accessories / Jewelry & Watches / Pendants "	717	"new"	2150	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/328/s/14k-white-gold-womens-diamond-cross-0-35-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//1/0/10677_1.JPG"
13811	"Avianne & Co"	"14K White Gold Womens Diamond Wedding Band 0.39 Ctw"	"This elegant womens diamond wedding band is crafted in 14K White Gold. The band measures to 3/16 Inches in width and weighs approximately 5 grams. This lovely womens diamond wedding band holds a total of 0.39 carat diamonds. "	"2700318 : More Categories / Clothing & Accessories / Jewelry & Watches / Rings"	499	"new"	1500	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/329/s/14k-white-gold-womens-diamond-ring-0-39-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//1/3/13811_2.jpg"
"R267"	"Avianne & Co"	"14K White Gold Diamond Bridal Ring Set 0.60 ctw"	"This lovely engagement bridal set features a 14K white gold wedding band and a 14k gold diamond engagement ring with a total 0.60 carats of exquisite pave and invisible set princess and round cut diamonds. "	"2700318 : More Categories / Clothing & Accessories / Jewelry & Watches / Rings"	642	"new"	1925	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/331/s/14k-white-gold-womens-diamond-bridal-ring-set-0-60-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//R/2/R267_1.jpg"
14380	"Avianne & Co"	"14K White Gold Womens Diamond Wedding Band 0.30 Ctw "	"This 14K gold Women's diamond wedding band features exquisite 0.30 carats of diamonds set in an invisible setting. A timeless engagement of White diamonds skillfully set in 14K luxurious gold will leave everyone speechless. "	"2700318 : More Categories / Clothing & Accessories / Jewelry & Watches / Rings"	419	"new"	1250	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/333/s/14k-white-gold-womens-diamond-wedding-band-0-30-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//1/4/14380_2.jpg"
10890	"Avianne & Co"	"14K White Gold Womens Diamond Star of David  Pendant 0.29 Ctw "	"This charming 14 karat white gold diamond Jewish star  pendent holds 0.29 carats of precious sparkling diamonds. Pave set with round cut G/H in color, SI1/SI2 in clarity precious stones. The length of this pendant with bale is approximately 1 inches in length and 5/8 Inches in width. Note: The chain is for illustration purposes only and can be purchased separately. "	"                 2700324 : More Categories / Clothing & Accessories / Jewelry & Watches / Pendants "	792	"new"	2375	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/347/s/14k-white-gold-womens-diamond-judaica-pendant-0-29-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//1/0/10890_1.JPG"
"BR318"	"Avianne & Co"	"14K White Gold Womens Diamond Bracelet 0.45 Ctw"	"Elegant and unique in appearance, this fine womens bracelet is crafted in highly polished 14K white gold. Each round cut diamond is carefully placed on bezel setting around the bracelet. Very feminine and delicate, this bracelet is ideal for an every day wear. "	"                 2700322 : More Categories / Clothing & Accessories / Jewelry & Watches / Bracelets & Chains "	967	"new"	2900	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/348/s/14k-white-gold-womens-diamond-bracelet-1-45-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//b/r/br318-1.jpg"
13962	"Avianne & Co"	"14K White Gold  Diamond Solitaire Stud Earrings 0.51 Ctw "	"Brilliant round cut diamonds are carefully placed on a prong setting crafted in 14K White gold. These earrings are small and their centerpiece measure to approximately 3/16 inches. Very simple and elegant, they are ideal for both men and women. "	"                 2700319 : More Categories / Clothing & Accessories / Jewelry & Watches / Earrings "	659	"new"	1975	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/349/s/14k-white-gold-diamond-studs-0-51-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//1/3/13962_1.JPG"
13148	"Avianne & Co"	"14K White Gold Diamond Stud Earrings 0.40 Ctw "	"These simple diamond stud earrings are crafted in highly polished 14k white gold. A number of invisibly set princess cut diamonds highlight the center of these earrings. These are ideal for both men and women. "	"                 2700319 : More Categories / Clothing & Accessories / Jewelry & Watches / Earrings "	339	"new"	1000	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/350/s/14k-white-gold-unisex-stud-earrings-1-40-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//1/3/13148_1.JPG"
"LD2811"	"Avianne & Co"	"18K White Gold Womens Diamond Ring 0.30 Ctw "	"Sheer grace and modernity bring this ring to life. A portrayal of one side of the band folded over another, is glittering with pave-set brilliant diamonds. This 18KT white gold ring is ideal for an everyday wear at an affordable price. "	"2700318 : More Categories / Clothing & Accessories / Jewelry & Watches / Rings"	250	"new"	750	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/355/s/18k-white-gold-womens-diamond-ring-0-30-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//L/D/LD2811_2.JPG"
10578	"Avianne & Co"	"18K White Gold Diamond Engagement Ring 0.38 Ctw "	"This 18K White gold engagement ring features brilliant invisibly set princess cut diamonds in the center. Another set of princess cut diamonds are invisibly set on both sides of the band. Gleaming with modernity, this is an ideal gift for that special occasion."	"2700318 : More Categories / Clothing & Accessories / Jewelry & Watches / Rings"	775	"new"	2325	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/357/s/18k-white-gold-diamond-engagement-ring-0-38-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//1/0/10578_1.JPG"
"R01516"	"Avianne & Co"	"18K White Gold Womens Diamond Ring 0.16 Ctw "	"Modern and strikingly unique 18K two toned ring is an amazing work of art. The band features three flowers crafted with yellow gold with three bezel-set round cut diamonds in the center. Each flower has three stems which shine with small round cut diamonds on a pave setting. This is an ideal everyday fashion ring which stands out with its interesting and exceptional appearance. "	"2700318 : More Categories / Clothing & Accessories / Jewelry & Watches / Rings"	834	"new"	2500	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/358/s/18k-white-gold-womens-diamond-ring-0-16-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//R/0/R01516_2.JPG"
