sku,title,price,quantity,image1,image2,ring_size,weight,width,length,metal_type,metal_color,gemstone_type,gemstone_color,gemstone_weight,gemstone_shape,diamond_color,diamond_clarity,diamond_carat_weight,diamond_shape,center_diamond_weight,center_diamond_clarity,center_diamond_color,center_diamond_cut,description,category
SR022742,"Solitaire Round Cut Lemon Quartz Citrine Diamond Gemstone Ring in Yellow Gold",549,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/r/sr022742a.jpg,http://www.povada.com/media/catalog/product/s/r/sr022742b.jpg,"7 (Resizable between size 6-8)","10 grams","0.87 inches",,"14K Gold",Yellow,"Lemon Quartz",Yellow,1.07ct,Round,H/I,SI2/I1,"0.18 ct",Round,,,,,"A shining round prong set lemon quartz sits inside a ring of prong set diamonds and a ring of prong set citrine gemstones. The 14k yellow gold band compliments the gold and yellow of the citrine and lemon quartz, with the diamond adding that extra sparkle. The diamonds have H/I color and SI2/I1 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Multi Gemstone Rings"
GR2113Q,"Solitaire Round Cut Lemon Quartz and Diamond Large Gemstone Ring in White Gold",360,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/r/gr2113qa.jpg,http://www.povada.com/media/catalog/product/g/r/gr2113qb.jpg,"7 (Resizable between size 6-8)","9 grams","0.62 inches",,"14K Gold",White,"Lemon Quartz",Yellow,5.79ct,"Round Checkerboard",I/J,I1/I2,"0.08 ct",Round,,,,,"This gorgeous round prong set lemon quartz gemstone shines in this 14k white gold ring. The white gold band has milligrain detailing and is accented by 10 round brilliant diamonds. The diamonds have I/J color and I1/I2 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Large Gemstone Rings"
RSC8355,"Solitaire Oval Cut Green Amethyst and Diamond Gemstone Ring in White Gold",497,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/s/rsc8355a.jpg,http://www.povada.com/media/catalog/product/r/s/rsc8355b.jpg,"7 (Resizable between size 6-8)","9 grams","0.5 inches",,"14K Gold",White,"Green Amethyst",Green,2ct,"Oval Checkerboard",H/I,SI2/I1,"0.09 ct",Round,,,,,"An elegant oval shaped prong set green amethyst gemstone is highlighted by a circle of 24 round brilliant pave set diamonds. The 14k white gold band is wide for a sturdy fit. The diamonds have H/I color and SI2/I1 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Green Amethyst Rings"
R26310B,"Cushion Cut Blue Topaz and Diamond Large Gemstone Ring in White Gold",507,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/2/r26310ba.jpg,http://www.povada.com/media/catalog/product/r/2/r26310bb.jpg,"7 (Resizable between size 6-8)","7 grams","0.56 inches",,"14K Gold",White,"Blue Topaz",Blue,12.69ct,Cushion,H/I,SI2/I1,"0.28 ct",Round,,,,,"A gleaming cushion shaped prong set large blue topaz gemstone sits atop this 14k white gold ring. The gemstone is accented by 48 round brilliant diamonds. The diamonds have H/I color and SI2/I1 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Large Gemstone Rings"
GR2113,"Solitaire Round Cut Blue Topaz and Diamond Large Gemstone Ring in White Gold",439,2,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/r/gr2113a.jpg,http://www.povada.com/media/catalog/product/g/r/gr2113b.jpg,"7 (Resizable between size 6-8)","9 grams","0.61 inches",,"14K Gold",White,"Blue Topaz",Blue,7.53ct,"Checkerboard Round",H/I,SI2/I1,"0.07 ct",Round,,,,,"This bold and beautiful round prong set blue topaz gemstone is accented by 18 round brilliant diamonds. The 14k white gold band is detailed with milligrain and careful detailing. The diamonds have H/I color and SI2/I1 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Large Gemstone Rings"
S8848,"Inlay Opal and Diamond Gemstone Ring in White Gold",507,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/8/s8848a.jpg,http://www.povada.com/media/catalog/product/s/8/s8848b.jpg,"7 (Resizable between size 6-8)","7 grams","0.55 inches",,"14K Gold",White,"Inlay Opal",Blue,,"Designer ",G/H,SI2/I1,"0.07 ct",Round,,,,,"This unique band features beautiful inlay opal which has hints of blue, purple and turquoise colors in triangle shapes. It is accented by a single row of round prong set diamonds. The diamonds have G/H color and SI2/I1 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Unique Gemstone Rings"
GR0754,"Solitaire Oval Cut Tanzanite Inlay Opal and Diamond Gemstone Ring in White Gold",429,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/r/gr0754a.jpg,http://www.povada.com/media/catalog/product/g/r/gr0754b.jpg,"7 (Resizable between size 6-8)","4 grams","0.47 inches",,"14K Gold",White,"Tanzanite#Inlay Opal",Blue,.76ct,Oval,G/H,SI1,"0.03 ct",Round,,,,,"An attractive oval shaped tanzanite is prong set in this 14k white gold band. The gemstone is beautifully accented by 6 rectangle shapes of inlay opal and 4 round brilliant diamonds. The diamonds have G/H color and SI1 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Tanzanite Rings"
R4710C,"Solitaire Pear Cut Citrine and Diamond Gemstone Ring in White Gold",605,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/4/r4710ca.jpg,http://www.povada.com/media/catalog/product/r/4/r4710cb.jpg,"7 (Resizable between size 6-8)","5 grams ","0.4 inches",,"14K Gold",White,Citrine,Orange,2.48ct,Pear,G/H,SI1,"0.34 ct",Round,,,,,"A beautiful pear shaped bezel set citrine gemstone is accented by glistening round brilliant diamonds. The 14k white gold band has rows of prong set diamonds climbing down. The total number of diamonds is 67 and have G/H color and SI1 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Citrine Rings"
RSC6625PT,"Solitaire Baguette Cut Pink Amethyst Diamond Unique Gemstone Ring in White Gold",358,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/s/rsc6625pta.jpg,http://www.povada.com/media/catalog/product/r/s/rsc6625ptb.jpg,"7 (Resizable between size 6-8)","5 grams ","0.81 inches",,"14K Gold",White,"Pink Amethyst",Pink,2.18ct,"Designer Cut",H/I,I1,"0.25 ct",Round,,,,,"A stunning baguette shaped bezel set pale pink amethyst adorns this 14k white gold unique gemstone ring perfectly. The amethyst gemstone is surrounded by 66 round brilliant pave set diamonds. The diamonds have H/I color and I1 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Unique Gemstone Rings"
S8855A,"Inlay Opal and Diamond Gemstone Ring in White Gold",468,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/8/s8855aa.jpg,http://www.povada.com/media/catalog/product/s/8/s8855ab.jpg,"7 (Resizable between size 6-8)","4 grams ","0.39 inches",,"14K Gold",White,"Inlay Opal",Blue/Green,,"designer ",G/H,SI1,"0.10 ct",Round,,,,,"This handcrafted 14k white gold band features beautiful triangular shapes of inlaid opal and criss cross rows of round brilliant diamonds. The prong set diamonds have G/H color and SI1 clarity. The total number of diamonds is 26.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Unique Gemstone Rings"
R4314Q,"Pear Cut Pink Quartz and Diamond Unique Gemstone Ring in White Gold",355,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/4/r4314qa.jpg,http://www.povada.com/media/catalog/product/r/4/r4314qb.jpg,"7 (Resizable between size 6-8)","3 grams","0.33 inches",,"14K Gold",White,"Pink Quartz",Pink,1.21ct,Pear,G/H,SI1,"0.28 ct",Round,,,,,"Two pear shaped pale pink quartz gemstones are prong set and surrounded by glistening round brilliant diamonds. The prong set diamonds climb down each side of the 14k white gold unique gemstone ring. The diamonds have G/H color and SI1 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Unique Gemstone Rings"
SDR2792,"Solitaire Pear Cut Pink Amethyst Diamond Leaf Gemstone Ring in White Gold",343,2,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/d/sdr2792a.jpg,http://www.povada.com/media/catalog/product/s/d/sdr2792b.jpg,"7 (Resizable between size 6-8)","5 grams","0.62 inches",,"14K Gold",White,"Pink Amethyst",Pink,1.56ct,Pear,G/H,SI2/I1,"0.14 ct",Round,,,,,"Add a glamorous touch with this stunning pear shaped bezel set pink amethyst gemstone surrounded by beautiful round brilliant diamonds. The diamonds are bezel and prong set in this sturdy white gold band. The diamonds have G/H color and SI2/I1 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Unique Gemstone Rings"
S8857,"Inlay Opal and Diamond Gemstone Ring in White Gold",490,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/8/s8857a.jpg,http://www.povada.com/media/catalog/product/s/8/s8857b.jpg,"7 (Resizable between size 6-8)","5 grams","0.34 inches",,"14K Gold",White,"Inlay Opal",Green/Blue,,"Designer ",H/I,SI2/I1,"0.04 ct",Round,,,,,"Pieces of inlaid opal adorn this 14k white gold ring beautifully. A row of round brilliant prong set diamonds lay between the opal to create a dazzling effect. The diamonds have H/I color and SI2/I1 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Unique Gemstone Rings"
S20113,"Inlay Opal and Diamond Gemstone Ring in White Gold",331,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/2/s20113a.jpg,http://www.povada.com/media/catalog/product/s/2/s20113b.jpg,"7 (Resizable between size 6-8)","6 grams","0.47 inches",,"14K Gold",White,"Inlay Opal",Blue,,"Designer ",H/I,SI2/I1,"0.17 ct",Round,,,,,"This stylish ring can be worn as an every day splash of color. Featuring triangles of gorgeous inlay opal which are accented by round brilliant prong set diamonds. The diamonds have H/I color and SI2/I1 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Unique Gemstone Rings"
S20114,"Tanzanite Inlay Opal and Diamond Gemstone Ring in White Gold",529,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/2/s20114a.jpg,http://www.povada.com/media/catalog/product/s/2/s20114b.jpg,"7 (Resizable between size 6-8)","6 grams","0.62 inches",,"14K Gold",White,"Tanzanite#Inlay Opal",Blue,.36ct,Triangle,G/H,SI2/I1,"0.22 ct",Round,,,,,"This truly unique ring features a triangle prong set tanzanite gemstone which is accented by inlaid opal and prong set round diamonds. The 14k white gold has a wide band to assure a sturdy fit. The diamonds have G/H color and SI2/I1 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Tanzanite Rings"
RSC8481C,"Solitaire Radiant Cut Citrine and Diamond Gemstone Ring in White Gold",466,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/s/rsc8481ca.jpg,http://www.povada.com/media/catalog/product/r/s/rsc8481cb.jpg,"7 (Resizable between size 6-8)","6 grams","0.55 inches",,"14K Gold",White,Citrine,Brown,0.34ct,Radiant,H/I,SI1,"0.33 ct",Round,,,,,"Glittering diamonds surround a bezel set radiant cut citrine gemstone in this beautiful ring. Handcrafted in 14k white gold, the prong set diamonds total 67 and have H/I color and SI1 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Citrine Rings"
RSC6604PA,"Pink Amethyst and Diamond Gemstone Ring in White Gold",245,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/s/rsc6604paa.jpg,http://www.povada.com/media/catalog/product/r/s/rsc6604pab.jpg,"7 (Resizable between size 6-8)","4 grams","0.35 inches",,"14K Gold",White,"Pink Amethyst",Pink,.57ct,Princess,:H/I,SI1,"0.18 ct",Round,,,,,"This beautiful 14k white gold ring is centered with a princess shaped bezel set pink amethyst gemstone. The milgrain detail on the band is accented with round brilliant diamonds. The diamonds have H/I color and SI1 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Amethyst Rings"
R5032P,"Designer Cut Pink Amethyst Diamond Gemstone Ring In White Gold",551,2,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/5/r5032pa.jpg,http://www.povada.com/media/catalog/product/r/5/r5032pb.jpg,"6 (Resizable between size 5-7)","5.6 Grams","0.84 Inches","0.87 Inches","14K Gold",White,"Pink Amethyst",Pink,3.11Ct,Designer,G/H,I1/I2,"0.16Ct ",Round,,,,,"This splendid pink amethyst diamond gemstone ring has a 3.11ct rectangle shaped designer cut pink amethyst main stone in a bezel setting. There are  diamonds in prong settings with a total weight of 0.16ct s. The color and clarity are G/H and I1/I2 respectively.","Gemstone Rings > Amethyst Rings"
S17798C,"Solitaire Oval Cut Citrine and Diamond Gemstone Ring in White Gold",186,2,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/1/s17798ca.jpg,http://www.povada.com/media/catalog/product/s/1/s17798cb.jpg,"7 (Resizable between size 6-8)","4 grams","0.54 inches",,"14K Gold",White,Citrine,Brown,.74ct,"Oval Checkerboard",H/I,SI2/I1,"0.08 ct",Round,,,,,"This lightweight and comfortable ring features an oval shaped prong set citrine gemstone. The gemstone is accented by prong set round brilliant diamonds. The 14k white gold band gives a beautiful shine.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Citrine Rings"
SDR2612,"Citrine Blue Topaz Diamond Gemstone Ring in White Gold",196,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/d/sdr2612a.jpg,http://www.povada.com/media/catalog/product/s/d/sdr2612b.jpg,"7 (Resizable between size 6-8)","4 grams","0.45 inches",,"14K Gold",White,Citrine,Orange,.66ct,Pear,I/J,I1/I2,"0.17 ct",Round,,,,,"This stylish ring consists of a prong set pear shaped citrine gemstone in the center and two bezel set round blue topaz gemstones on the side. It is also accented by prong and bezel set round diamonds. The diamonds have I/J color and I1/I2 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Multi Gemstone Rings"
SDR2790,"Solitaire Oval Cut Pink Amethyst and Diamond Gemstone Ring in White Gold",387,2,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/d/sdr2790a.jpg,http://www.povada.com/media/catalog/product/s/d/sdr2790b.jpg,"7 (Resizable between size 6-8)","4 grams","0.5 inches",,"14K Gold",White,"Pink Amethyst",Pink,"0.75 Ct",Oval,H/I,SI2/I1,"0.32 ct",Round,,,,,"Every girl will love this beautiful oval shaped bezel set pink amethyst ring. The gemstone sits in the center of bezel and prong set round diamonds in this 14k white gold band. The diamonds have H/I color and SI2/I1 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Unique Gemstone Rings"
S8862,"Inlay Opal and Diamond Gemstone Ring in White Gold",301,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/8/s8862a.jpg,http://www.povada.com/media/catalog/product/s/8/s8862b.jpg,"7 (Resizable between size 6-8)","5 grams","0.33 inches",,"14K Gold",White,"Inlay Opal",Blue/Green,,"Designer ",H/I,SI2/I1,"0.20 ct",Round,,,,,"Four squares of beautiful inlaid opal adorn this 14k white gold band. They lay inside of rows of prong set round brilliant diamonds for extra sparkle. The diamonds have H/I color and SI2/I1 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Unique Gemstone Rings"
S8856A,"Inlay Opal and Diamond Gemstone Ring in White Gold",316,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/8/s8856aa.jpg,http://www.povada.com/media/catalog/product/s/8/s8856ab.jpg,"7 (Resizable between size 6-8)","4 grams","0.32 inches",,"14K Gold",White,"Inlay Opal",Blue/Green,,"Designer ",H/I,SI1,"0.14 ct",Round,,,,,"Beautiful colors of blue, turquoise and green shine brightly in this 14k white gold band accented with criss cross rows of diamonds. The prong set round brilliant diamonds give just the right amount of glamour and have H/I color and SI1 clarity. The 14k white gold band has a lightweight fit for comfort.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Multi Gemstone Rings"
RSC8481,"Solitaire Radiant Cut Smoky Quartz and Diamond Gemstone Ring in White Gold",461,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/s/rsc8481a.jpg,http://www.povada.com/media/catalog/product/r/s/rsc8481b.jpg,"7 (Resizable between size 6-8)","6 grams","0.54 inches",,"14K Gold",White,"Smoky Quartz",Brown,0.33ct,Radiant,H/I,SI1,"0.33 ct",Round,,,,,"Glittering diamonds surround a bezel set radiant cut Smoky quartz gemstone in this beautiful ring. Handcrafted in 14k white gold, the prong set diamonds total 57 and have H/I color and SI1 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Quartz  Rings"
R2905,"Solitaire Princess Cut Blue Topaz and Diamond Gemstone Ring in White Gold",426,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/2/r2905a.jpg,http://www.povada.com/media/catalog/product/r/2/r2905b.jpg,"7 (Resizable between size 6-8)","5 grams","0.38 inches",,"14K Gold",White,"Blue Topaz",Blue,.98ct,Princess,G/H,SI1,"0.19 ct",Round,,,,,"This stunning 14k white gold ring boasts a princess shaped bezel set blue topaz gemstone which is surrounded by sparkling diamonds. The round prong set diamonds surround the blue topaz and climb down each side of the 14k white gold band. The diamonds have H/I color and I1 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Blue Topaz Rings"
RSC6626W,"Whiskey Quartz and Diamond Gemstone Ring in White Gold",299,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/s/rsc6626wa.jpg,http://www.povada.com/media/catalog/product/r/s/rsc6626wb.jpg,"7 (Resizable between size 6-8)","5 grams","0.38 inches",,"14K Gold",White,"Whiskey Quartz",Brown,.93ct,Baguette,H/I,SI2/I1,"0.30 ct",Round,,,,,"This sleek and stylish ring features a baguette cut prong set gemstone which sits surrounded by glittering diamonds. There are a total of 90 round prong set diamonds which have H/I color and SI2/I1 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Quartz  Rings"
RSC8481G,"Solitaire Radiant Cut Green Amethyst and Diamond Gemstone Ring in White Gold",461,2,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/s/rsc8481ga.jpg,http://www.povada.com/media/catalog/product/r/s/rsc8481gb.jpg,"7 (Resizable between size 6-8)","4 grams","0.55 inches",,"14K Gold",White,"Green Amethyst",Green,0.35ct,Radiant,G/H,SI1,"0.33 ct",Round,,,,,"Glittering diamonds surround a bezel set radiant cut green amethyst gemstone in this beautiful ring. Handcrafted in 14k white gold, the prong set diamonds total 57 and have G/H color and SI1 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Green Amethyst Rings"
RZ71611C,"Citrine and Diamond Gemstone Ring in Yellow Gold",154,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/z/rz71611ca.jpg,http://www.povada.com/media/catalog/product/r/z/rz71611cb.jpg,"7 (Resizable between size 6-8)","2 grams","0.32 inches",,"14K Gold",Yellow,Citrine,Brown,1.97ct,Pear,G/H,SI1,"0.02 ct",Round,,,,,"Dress up any look with this gorgeous citrine and diamond 14k yellow gold ring. The ring features 3 prong set citrine gemstones which are accented by 6 round prong set diamonds. The diamonds have G/H color and SI1 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Citrine Rings"
