"Alternate Lookup","Qty 1"
R126204,0
BR2008A,0
R25371,0
R5500D,0
R126262,0
R126283,0
R125692,1
R125711,0
ER125731,1
CH125756,1
R125776,1
P125813,1
R125825,0
R125847,1
ER125772,0
P125892,1
R125949,1
BR126022,1
CH1100a,0
CH126165,0
R126205,0
BR2009,0
R25372,0
BR126237,0
R126263,0
R126284,0
NS206-2T,0
R126313,0
P126317,0
P126333,0
W3309G9,0
R125950,1
BR126023,1
R126043,1
ER25324,1
17267,0
16767,1
BR2019,0
CH126166,1
R126206,0
BR25369,0
R25373,0
P126238,1
R126264,0
BR126024,1
CH25325,0
CH2264,0
W126150,0
CH126167,1
R126207,0
BR25370,0
P25374,0
P126239,0
R126265,0
R126285,0
11907,0
R126314,0
R023,3
R113BW,1
R019BWYC,1
R158WY,1
R042YW,1
R096WY,1
R096BW,1
R103WBY,1
R096BWY,0
RM407,1
R096BKW,2
R100BW,1
R110BYW,1
BR2016,0
P126151,1
CH126168,0
R126208,0
R25375,0
P126240,1
P126266,1
R126286,0
BR2013,0
R126315,0
BR126318,0
CH126334,0
BR2022,0
17236,0
CH126169,1
R126209,0
R25376,0
R126241,0
R126267,0
R126287,0
,1
R126316,0
R126319,0
CH126336,0
17273,0
W12896,0
P126153,0
BR126170,0
P126210,0
R25377,0
R126242,0
R126268,0
R126288,1
BR2027,0
R126320,1
BR126338,0
R126344,0
P126345,0
15875,1
JPDGE776-1,1
R126211,2
R25378,0
R126243,1
R126269,0
R126289,0
R126321,0
BR126339,0
ER126346,0
BR126366,1
R126388,0
R126389,1
R125951,1
16078,1
R126212,0
R25379,0
R126244,0
P126270,1
R126290,0
P126322,0
BR126340,0
BR126347,0
N126367,0
R126390,0
16822,1
R126213,0
ER25380,0
R126245,1
P126271,1
R126291,0
R126323,1
BR126341,0
BR126348,0
ER126368,1
R126391,0
VBR01135,0
P125631,0
CH125636,0
R170B,0
R25154,0
R-197,1
N25162,1
ER25185,1
R25159,0
VR05548,0
VR03719,10
VR06563,0
VR03009,0
VR03871,0
VE02457,4
15087,1
ER126214,0
CH25381,1
R126246,0
P126272,0
R126929,1
CH126324,0
BR126342,0
P126349,1
ER126369,1
VBR01144,0
ER605BK2,1
R87125A,0
BEZEL94,0
R25496,0
R25498,0
ER25502,0
R25503,1
BR25530,1
R25535,1
R25550,1
R25566,1
R25567,0
R25586,1
R25591,1
R5500B,1
R126247,0
ER126273,0
R126293,0
ER126325,0
BR126343,0
R126350,1
ER126370,1
VBR0808F,0
VE002004A,1
BR126402,0
ER126403,1
R126294,1
CH126326,0
C126351,1
R126381,1
VP03797E,0
P126404,0
VE02018A,0
ER126425,1
p126429,0
CH126430,0
B126433,0
ER126215,0
ER126231,1
R126248,0
P126274,0
R126295,0
ER126327,0
R126352,0
R126372,1
VP0038070E,0
R126405,0
ER126426,1
P126428,0
R126232,0
ER126249,0
BR126275,0
R126296,0
CH126328,0
R126353,1
R126373,1
VBR01265,0
R126406,0
R126431,1
BR126434,0
BR126435,0
14118,1
ER126216,0
P126233,0
P126250,1
BR126276,1
R126297,0
CH126329,0
ER126354,0
R126374,1
VBR00885,0
R126407,0
BR126432,0
17174,1
P126217,0
R126234,0
ER126251,0
R126277,1
R126298,1
CH126330,1
R126355,1
ER126375,1
BR126408,1
BR126436,0
CH126444,0
BR126445,0
14827,1
N126218,0
ER126235,0
ER126252,0
R126278,0
ER126299,1
BR1535,0
ER126356,2
R126376,1
R126409,0
BR126437,0
BR126446,0
BR1535A,1
BR126357,0
R126377,0
ER126410,1
BR126438,0
BR126447,0
BR126467,0
ER094C,1
ER601BK2,1
ER0337Y1,0
ERD515A,0
CH2265,0
R126536,1
R25407,1
BR25411,0
BR25416,0
BR25435,0
ER-11510,0
BR126538,0
CH126543,0
BR126547,1
ER25448,0
BR25449,0
R25457,1
CH2270,0
17259,1
R126219,0
R126253,1
P126279,1
R126300,1
BR126358,0
BR126378,1
R126411,1
BR126439,0
BR126448,0
BR126468,0
EM023A,0
BR126539,0
BR126544,0
R126548,1
BR25450,0
ER25458,0
CH25469,0
BR25481,0
R25484,0
R25493,0
BEZEL95,0
BR25497,1
BEZEL50,0
BR126220,0
R126254,0
R126280,0
BR126301,1
R126359,1
R126379,0
BR126412,0
BR126440,0
BR126449,0
BR126469,0
R126477,1
VE23110E1,1
R126221,0
BR126255,1
R126281,0
BR126302,1
R126360,1
R126380,1
R126413,0
BR126441,0
BR126450,0
CH126470,0
E003Y,3
VE02034E1,1
R1420A,0
17244B,0
R25854,1
BR25857,0
R25874,1
P25878,1
R-923B,1
ER1019HT,1
BR126578,1
CH126579,1
ER126581,1
P126587,0
R126588,1
R126222,0
R126256,1
ER126282,1
R126303,2
R126361,1
R26381,1
P126414,0
BR126442,0
BR126451,0
CH126471,0
E009A,1
ER654,1
E007B1,1
CH126223,1
R126257,1
BR126304,0
R126362,1
R126382,0
BEZEL415,0
BR126443,0
BR126452,0
BR126472,0
ER4665A,1
ER0015,0
CH2266,0
R051,0
R5337,1
R053,1
R065BK,0
R0011,0
R4838Y,1
R6226Y,2
R5895YW,0
R069WY,2
R14WYB,0
R026YBW,1
R157BWY,0
R-012B,1
BR126416,0
BR126453,0
BR126473,0
CH126491,0
ER126492,0
ER560,1
CH7550,0
ER151,0
ER113,1
R126503,0
P126504,1
R126506,1
R5719,1
R1519,1
R4814A,1
R12701,1
R33750,1
R6072,1
R144,1
R13209,1
R10781,1
R4814Y,1
DR00299,1
VR05354,1
R51035,0
R16125,0
R14863,1
MR80-1-D,1
R12883,1
R019YGC,1
R5300,1
R018W,2
R11107,1
R156BW,1
R1751,1
R4812,1
R4882YW,1
R6217YW,1
R025WYB,3
R156,1
R095YW,1
R007YW,1
R6267WY,1
R6392WY,0
R-015W,1
R6333YW,1
RM401,0
R6336YW,2
R6279WY,2
R25504,1
R25531,1
R25536,1
BR25551,0
R25568,1
R25587,1
BR25592,1
BEZEL10,0
P25603,1
R25616,1
R25632,0
R25647,1
CH25470,0
BR25482,0
CH25485,0
BEZEL51,0
R25505,1
R25532,0
R25537,1
R25552,1
R25569,1
R25588,0
R25593,1
BEZEL30,0
CH126363,1
R126383,1
R126417,1
BR126454,0
BR126474,0
ER115,2
BR126505,1
R126507,1
P126522,1
R126537,1
R25408,1
BR25412,0
R1288,1
R13212B,0
R7562,1
R125398,1
R3977,0
BR625,1
R125423,0
BR125439,1
BR125436,0
BR125469,0
BR125471,0
CH125472,0
CH5417C,0
R125479,0
R125480,0
P042BK,1
W125484,0
17173,1
P741-1,0
BR131,3
BR125496,0
BR1622,1
BR125500,0
ER126364,1
R126384,1
BR126418,0
BR126455,0
W126475,0
ER151A,2
R126508,1
R126523,1
R25382,1
R25409,1
BR25413,0
BR25417,1
BR126365,1
R126385,1
BR126419,1
BR126456,0
ER154,0
R126509,1
R126524,1
R25383,1
CH25410,0
BR25414,0
BR25418,0
BR25436,0
R125598,1
R125617,1
R125630,0
BR125632,0
CH125637,0
R25149,0
R-419,1
CH25160,0
ER25186,0
VR03409,33
VR05585,0
VR06481,1
VR04086,2
CH25648,0
BR25649,0
R25651,0
R25652,1
CH126553,1
R25656,1
BR25662,0
R25663,1
BR25667,0
R25669,0
CH2263,0
P25672,0
R126386,1
R126420,1
BR126457,0
ER153,1
R126510,0
R126525,1
R25384,1
BR25415,0
BR25419,0
BR25437,0
BG57,0
CH2267,0
ER126545,0
R126421,1
BR126458,0
ER126501,2
R126511,1
BR126526,1
BR25385,1
BR25420,0
R25438,1
BG61,0
CH2268,0
P126546B,0
BR126549,1
CH25451,0
R126387,1
CH126422,1
BR126459,0
ER152,0
R126512,1
ER126527,0
BR25386,1
BR25421,0
BR25442,0
CH2269,0
BR126550,1
P25452,1
R25459,0
ER126423,1
BR126460,0
R126513,1
R126528,1
BR25387,2
BR25422,0
R126551,1
BR25453,0
BR25460,1
CH25471,0
BR25483,0
CH25486,0
BR126461,0
BR126514,0
R126529,1
R25388,1
BR25423,0
R25443,1
P25454,1
ER25461,0
BR25472,0
CH25487,0
BEZEL52,0
R25506,1
CH25533,1
BR126515,1
P126530,1
R25389,1
BR25424,0
P25444,0
CH25455,0
R25462,1
BR25473,1
CH25488,0
P25507,1
BR25534,1
ER25538,1
BR126516,0
BR126531,0
N25390,1
BR25425,0
R25445,0
R25456,1
BR25463,0
BR25474,0
CH25489,0
R25508,1
W13148BK2,0
R25539,1
BR126462,0
CH126517,0
R126532,1
R25391,0
BR25426,0
R25446,1
R25464,1
BR25475,0
CH25490,0
CH25509,0
ER25540,0
R25553,1
BR126463,0
CH126518,1
R126533,1
R25392,0
BR25427,0
R25447,1
W3309L6A,0
BR25476,0
R25491,0
BR25510,1
R25541,0
R25554,1
BR126464,0
R126519,0
BR126534,0
R25393,1
BR25428,0
W3309L6B,0
BR25477,0
R25492,0
R25511,1
ER25542,1
R25555,0
R25570,1
BR126465,0
R126520,1
R126535,0
R25394,1
BR25429,0
W3309L6C,0
BR25478,0
R25512,1
R25543,0
BR25556,0
P25571,0
R25589,0
BR126466,0
R126521,1
R25395,1
BR25430,0
BR25479,0
P25513,1
R25544,1
R25557,1
R25572,1
R25590,1
R25594,0
R25600,1
R25396,1
CH25431,0
BR25480,0
P25514,1
R25545,0
R25558,1
R25573,1
R25595,1
P25601,1
R25604,1
R25617,1
R25633,1
ER25596,1
R25602,1
R25605,1
R25618,1
R25634,0
BR25650,0
R126554,1
R25657,1
R25664,0
BR25668,0
R25670,1
CH25673,1
R25397,1
BR25432,0
R25515,1
R25546,1
R25559,1
R25574,1
R25597,1
R25606,1
R25619,1
R25635,1
ER126555,1
R25658,1
BR25398,1
BR25433,0
R25516,1
P25547,1
R25560,1
R25575,1
R25607,1
R25620,1
R25636,1
BR25653,1
R25660,1
R25665,1
R25608,1
R25621,0
R25637,1
R25654,1
P25659,0
BR25666,1
BR25674,1
CH2262,0
CH25678,0
BR25680,1
CH25691,1
CH142,0
R25517,1
R25548,1
R25561,1
R25576,1
R25609,1
R25622,1
CH25638,1
ER25655,1
CH25661,1
P25675,0
CH246,0
R25679,0
R25399,1
BR25434,0
R25518,1
R25549,1
R25562,1
BR25577,0
R25610,1
R25623,1
BR25639,1
CH25681,0
CH2837,1
CH2642,0
R25519,1
R25563,1
R25578,1
ER25611,1
ER25624,1
R25640,0
R25682,1
CH132,0
CH7032,0
BR25701,1
CH25702,0
P25710,1
R25400,0
R25520,1
R25564,1
R25579,1
ER25612,1
R25625,1
R25641,1
R25683,0
CH907,0
R25703,1
BR25711,1
CH25722,0
R26471,1
R26488,1
R26512,1
R26525,1
R26545,0
BG18,2
R26574,1
P26590,1
R26596,1
R26621,1
JAMISON,0
BR26624,0
BR26632,0
BR26637,0
BR25401,1
R25521,1
CH25565,0
R25580,1
ER25613,0
R25626,1
R25642,1
P25684,0
CH1025,1
R25704,1
BR25712,0
R25723,1
R25402,1
R25522,1
R25581,1
R25614,0
R25627,1
R25643,1
P25685,0
CH912,1
R25705,0
CH25713,0
ER25724,1
R25728,2
R25686,1
CH865,1
R25706,1
CH25714,0
P25725,1
R25730,1
R25734,0
P25738,0
BR25415A,0
R25759,1
ER25765,1
R25498B,1
VR61560E,1
VR61610E,2
VR62090E,1
VR62050E,1
VR61730E,0
DR00275,0
R11150,1
R23145,0
R7784,1
R10830,1
R8734,1
R5802,1
R1350,1
R433A,0
RM294,1
R4818,1
RG0176,1
R14808,1
R4746B,1
R11180,1
R10210,1
RM296WY,1
R6086,1
R25403,1
BR25523,1
P25582,1
R25615,1
ER25628,0
R25644,1
R25687,1
R25707,1
R25715,1
P25726,1
R25731,0
R25735,1
LD-25012,0
P069,1
R2,0
R6237YW,0
#2-17,0
#3-26,0
#3-27,0
#3-29,0
#3-41,0
#4-16,0
#4-35,0
#5-13,0
++R4843A,0
13054E,0
R25404,1
R25524,1
R25583,1
R25629,0
CH25645,0
P25688,0
R25708,1
R25716,1
R25732,1
P25736,1
BR25741,0
BR25760,1
R25525,1
R25584,1
R25630,1
CH25646,0
R25689,1
R25709,1
R25717,1
BR25761,0
BR25766,1
R25771,0
R25773,1
R078,1
R421WBY,0
RM156,3
R10525,0
R5768,2
R6304WY,0
R6226B,1
R6226,1
R6302YB,0
R072BW,1
R084WY,0
R015A,0
R6342Y,1
R020B,1
R6656,1
R060BK,0
R4875,1
R4814,2
R6294,1
R4819A,1
R019WGC,1
R220,1
R069,1
R5487,0
RM151A,1
DR00061,0
R141BWY,0
RG0168,1
RM433A,1
R-003,0
R12979,0
R-001B,1
R072,1
R4827,1
R-014,0
R112W,0
R3196,1
R20705,0
R1116,1
R25526,1
R25585,1
BR25631,0
CH25690,0
R25718,1
br25742,0
BR25767,1
R25772,0
R25774,1
BR25775,0
P25777,1
R25527,1
CH25719,0
P25743,0
VR03004BK,0
R25779,1
BR25792,0
R25795,0
P25807,1
BR25810,1
R25812,1
BR25813,0
CH25814,1
R4566A,1
BR126589,0
BG12,0
R25879,1
P25882,1
BR25898,1
N25903,1
R25909,1
R5307,1
P25911,1
E0080A,1
R2950B,1
BR126597,0
ER126599,0
R5993A,2
R4822Y,0
R6332WY,1
R009WYB,1
RG0171,0
RG0113,0
R208,0
R6248WB,0
R9292,1
R4830B,1
R14210,1
RM391,0
R4880,1
BR20148,0
R9044,1
R1623,0
R4756,0
ER125399,1
BR125419,0
R125424,1
BR125440,1
P125457,1
BR125470,0
W125473,0
CH125474,0
R26620,1
BR26625,0
BR26633,0
BR26638,0
BR26639,1
CH26640,0
VR07295,2
CH26649,0
VR09886,1
VE02373,4
VE01232,3
CH26662,1
VE01267,3
R202W,1
R005B,0
R298W,1
R4465,2
15936,1
10k,0
BR-937,0
CH-07,0
PD859AA,0
CR-1550,0
ER012,0
ER029,2
ER2,0
P125397,0
CH125531,0
R45231A,1
R7891,1
R5314WB,0
CH125547,1
BEZEL548,0
R-1286A,1
ER125553,0
R125575,0
P125594,1
R125599,1
1/1/2010,0
10,0
10/10/2010,0
10005,0
10010,0
10013,0
10014,0
10017,0
10019,0
10023,0
10058,0
10059,0
10077,0
10088,1
BR20149,0
R20167,0
P125394,0
ER125400,1
BR125420,0
R125425,1
R125441,0
P125458,1
R125476,0
R13115EM,1
P125485,1
P739-1,0
BR115,1
BR20150,0
R6182A,0
ER125395,0
ER125401,0
W125421,0
R125426,1
R125442,1
P125459,1
W125477,0
R13115RB,1
P125486,0
P740-1,0
BSC4316,1
R12134,1
RM424,1
R4821,1
R068Y,1
R4879,2
R4647B,1
R-009,1
R11112,1
R1255,0
R4849,2
R2155AA,1
R664,1
P25744,0
P25780,1
BR25793,1
P25796,1
CH25808,0
BR25811,0
CH25815,0
ER25840,1
P25852,0
R25855,1
R25858,1
P126558,0
R7665,1
R44579,1
R4313,1
R8250,1
R3460,1
R8139,1
R57075,1
R5907,1
R1237,0
R7785,1
R10751,1
R45000,2
R61075,1
R9735,1
R145055,1
R15071,1
R41232,1
R575,0
R46050,0
R65251,1
R78451,0
R-2662,2
R48101,0
R92030,1
DR00214,2
R12510,1
R55010,1
R7107,1
R4712,0
R6605,0
DR00300,1
VR05541,1
VRO5353,0
R75075,2
DR00174,1
VR05316,2
10089,0
10097,0
10140,0
10154,0
10178,0
10184,0
10199,0
10200,0
10201,0
10202,0
10214,0
10215,0
102314,0
102763,0
R750,1
R4660B,1
R710,1
R71514,0
R79010,1
R7717,1
R45556,0
R11500,1
R4149,1
R1310,1
R94025,1
R75030,0
10290,0
10310,0
10312,0
10320,0
10321,0
10325,0
10328,0
10331,0
10333,0
10336,0
10339,0
10342,0
10347,0
10354,0
10458,0
10460,1
10463,0
10464,0
10465,0
10466,0
10467,0
10485,0
10487,0
R104W,0
10506,0
10508,0
10541,0
1055,0
BR20151,0
R14318,1
P125402,1
R125427,1
ER125443,1
R125460,1
W125478,0
P125487,0
ER125494,0
P1780,1
N262,0
R125508,1
BR125530,1
BR20152,0
GSHOCKBA,0
R125403,0
R125428,1
R125444,0
P125461,1
P125488,0
CH251,1
CH767Y,1
R125509,1
R3125,1
R1451,1
ER125546,2
10572,1
10659,0
10660,0
10662,0
10663,0
10675,0
10681,0
10698,0
10699,0
10700,0
10701,0
10702,0
10708,0
10715,0
10745,0
10754,0
10781,1
10781A,0
10852,0
10886,0
10919,0
10921,0
10942,0
10981,0
10984,0
10KT,0
"10KT GOLD",0
11,0
11/11/2010,0
11002,0
11003,0
11004,0
11008,1
11024,0
11026,0
11027,0
11055,1
11059,0
11070,0
11073,0
11101,0
11105,0
11120,0
11122,0
11126,0
11140,0
11159,0
11176,0
11178,0
11180,0
11182,0
11184,0
11187,0
11194,0
11196,0
11200,0
11201,0
11207,0
11227,0
11229,0
11233,0
11239,0
11242,0
11246969,0
11248,0
11253,0
11259,1
11269,0
11270,0
11271,0
11778,0
12015,0
12320,0
12560,0
12653,0
12751,0
12992,0
13171,0
13430,0
13864,0
14251,1
1BG,0
2583CL,1
8/8/2010,0
11305,0
11780,0
12016,0
12321,0
12564,0
12654,0
12757,0
12994,0
13172,0
13438,0
13869,0
14252,0
2,0
2594CL,0
11334,0
11781,0
12023,0
12323,0
12586,1
12655,0
12760,0
13,0
13173,0
13439,0
13887,0
14254,0
2/2/2010,0
26,0
11339,0
11820,0
12025,0
12333,0
12587,0
12656,0
12766,0
13-13,0
13174,1
13453,0
14219,0
14256,0
20,0
26-26,0
11385,0
11822,0
12068,1
12335,0
12589,0
12657,0
12772,0
13003,0
13179,1
13533,0
14,0
14412,0
20-20,0
2678CL,0
11401,0
11826,0
12096,0
12336,0
12590,0
12659,0
12823,0
13006,0
13180,0
13534,0
14-14,0
14417,0
21,0
27,0
11402,0
11845,0
12097,0
12337,0
12591,0
12660,0
12824,0
13007,0
13184,0
13535,0
14013,0
14448,0
21-21,0
27-27,0
11428,0
11889,0
12098,0
1234,0
12592,0
12661,0
12827,0
13011,0
13213,0
13536,1
14056,0
14657,0
22,1
28,0
11429,0
11898,0
12104,0
12351,0
12593,0
12662,0
12828,1
13021,0
13214,0
13619,0
14078,0
14912,0
22-22,0
28-28,0
ER15395,1
P26977,2
BR26978,1
P9273,1
ER26979,4
BR26981,0
S40763,1
BR131G,1
BR126747,1
ER126757,5
11430,0
11942,0
12138,0
12352,0
12594,0
12663,0
12833,0
13032,0
13215,0
13623,0
14079,0
14973,0
23,0
3,0
11437,0
11944,0
12139,0
12353,0
12596,0
12664,0
12837,0
3054D,0
13216,0
13624,0
14081,1
14KT,0
23-23,0
3-0SET,0
11465,0
11947,0
12140,0
12355,0
12898,0
12666,0
12839,0
13054F,0
13217,0
13627,0
14093,0
"14KT 222GR",0
2328EA,0
3/3/2010,0
11503,0
11949,0
12226,0
12356,0
12598,0
12667,0
12845,0
13054G,0
132213,0
13629,0
14114,0
"14KT GOLD",0
24,0
30006,0
11509,0
11951,0
12167,0
12377,0
12599,0
12668,0
12886,0
13054H,0
13235,0
13631,0
14122,0
15,0
24-24,0
3573CL,0
11552,0
11961,0
ROLEXEX,0
WBR,0
12601,0
12669,0
12887,0
13054I,0
13237,0
13657,0
14148,0
15-15,0
25,0
R3491,0
11556,0
11977,0
12245,0
12385,0
12603,0
12670,0
12893,0
13084,0
13238,0
13661,0
14153,0
15123,1
25-25,0
4,0
11559,0
11978,0
12270,0
12399,0
12604,0
12685,0
12895,0
13101,0
13317,1
13663,0
14181,0
15PTS.,0
2551CL,0
4/4/2010,0
11563,0
11979,0
12272,0
12404,0
12605,0
12686,0
12896,1
13102,0
W13321-03,0
13664,0
14194,0
16,0
2552CL,0
40,0
11649,0
11981,1
12281,0
12419,0
12606,0
12694,0
12899,0
13103,0
13322,0
13665,0
14223,0
16-16,0
2553CL,0
5,0
11650,0
11985,0
12283,0
12454,0
12607,0
12695,0
12900,0
13140,0
13330,0
13694,0
14229,0
17,0
2554CL,1
5/5/2010,0
11653,0
11992,0
12288,0
12507,0
12615,0
12699,0
12912,0
13141,0
13331,0
13718,0
14230,0
17-17,0
2556CL,0
6,0
11718,0
11994,0
12290,0
12537,0
12628,0
12702,0
12916,0
13145,0
13332,0
13737,0
14245,0
18,0
2557CL,0
6/6/2010,0
11742,0
11999,0
12297,0
12543,0
12629,0
12707,0
12933,0
13153,0
13334,0
13743,0
14246,0
18-18,0
2560CL,0
64,0
11769,0
11pts,0
12303,0
12552,0
12631,0
12735,0
12936,0
13154,0
13335,0
13793,0
14247,0
18KT,0
2561CL,0
7,0
11770,0
12,0
12303A,0
12555,0
12632,0
12741,0
12937,0
13160,0
13344,0
13807,1
14248,0
"18KT GOLD",0
2572CL,0
7/7/2010,0
11773,0
12/12/2010,0
12303B,0
12556,0
T13054,0
12743,0
12947,0
13163,0
13374,0
13823,0
14249,0
19,0
2579CL,0
7683CP,0
11777,0
12002,0
12314,0
12558,0
12652,0
12748,0
12949,0
13164,0
