"Billing address","Fakturační adresa"
"What is this?","Co to je?"
"Card Verification Number","Kontrolní číslo karty"
"Expiration Date","Platnost do:"
"Credit Card Type","Druh kreditní karty"
"Credit Card Number","Číslo kreditní karty"
"Name on Card","Jméno na kreditní kartě"
"Expiration Date","Platnost do"
"Please select region, state or province","Prosím vyberte region, stát nebo provincii"
"--Please Select--","--Prosím vyberte--"
"LightCheckout Skin","LightCheckout Skin"
"Allow to change Qty","Změnit množství"
"Allow to Remove Item from Checkout","Odstranit položku z košíku"
"Disable Cart","Zablokovat košík"
"Enable Discount Codes","Aktivovat slevové kódy"
"Yes, checkbox is checked","Ano, políčko je zaškrtnuté"
"Yes, checkbox is unchecked","Ano, políčko není zaškrtnuté"
"Create an Account checkbox","vytvořit účet"
"Available Delivery Days","Aktivovat dodací dny"
"Available Delivery from, hours","Aktivovat odeslání objednávky, v hodinách"
"Available Delivery to, hours","Aktivovat čas příjmu objednávky, v hodinách"
"Set Interval for Delivery, days","Určit interval pro dodávku, ve dnech"
"Enable GeoIP for Zip/Postcode","Aktivovat GeoIP pro PSČ"
"Enable GeoIP for City","Aktivovat GeoIP pro město"
"Enable Ajax for Country","Aktivovat Ajax pro zemi"
"Enable Ajax for State/Region","Aktivovat Ajax pro stát/ provincii"
"Enable Ajax for Zip/Postcode","Aktivovat Ajax pro PSČ"
"Enable Ajax for City","Aktivovat Ajax pro město"
"Show Address Book","Ukázat adresář"
"State/Region","Stát/Region"
"Enable EU VAT Option","Aktivovat možnost Evropského DPH"
"Base EU Country","Země Evropské unie"
"B2C & B2B (Base EU Country)","B2C & B2B (členské státy EU)"
"B2C & B2B (within EU, not Base EU Country)","B2C & B2B (mezi nečlenskými státy, v EU)"
"VAT/Tax Rule","Daňová pravidla"
"Show Buy without VAT checkbox","Ukázat nákup bez DPH"
"Text under VAT/Tax field","Daňové pole"
"EU VAT/Tax Settings","EU DPH nastavení"
"Without VAT if VAT Number is Verified","Bez DPH, pokud bylo DPH ověřeno"
"Without VAT","Bez DPH"
"With VAT","S DPH"
"Yes, checked","Ano, zaškrtnuto"
"Yes, unchecked","Ano, nezaškrtnuto"
"Delivery Date","Datum dodání"
"GeoIP Settings","nastavení GeoIP"
"Ajax Settings","Ajax nastavení"
"Yes, before Order Review","Ano, před zkontrolováním objednávky"
"Yes, after Order Review","Ano, po zkontrolování objednávky"
"Selected Days","Vybrané dny"
"All Days","Všechny dny"
"Activation","Aktivace"
"Activation Key","Aktivační klíč"
"Select Websites","Vyberte internetové stránky"
"GoMage LightCheckout","Gomage Light objednávka"
"Unchecked","Nezaškrtnuté"
"Checked","Zaškrtnuté"
"Enable, unchecked","Aktivovat, nezaškrtnuté"
"Enable, checked","Aktivovat, zaškrtnuté"
"To use GeoIP you need to upload GeoliteCity.dat file to folder /media/geoip. Read more in the <a target=""_blank"" href=""%s"">Installation Guide</a>","Pokud chcete použít GeoIP, musíte si stáhnout GeoliteCity.dat. Read more in the <a target=""_blank"" href=""%s"">Installation Guide</a>"
"Select Date","Vyberte datum"
"Buttons View","Zobrazit tlačítka"
"Please enter a valid VAT.","Prosím zadejte platné DPH."
"None","Žádný"
"Use Сtrl + left mouse button to select the days","Pokud chcete vybrat dny, stiskněte Ctrl a levé tlačítko myši. "
"Please enter a valid key.","Prosím zadejte platný klíč."
"Gift Wrapping","Gift Wrapping"
