"Billing address","Rechnungsadresse"
"Please select region, state or province","Bitte Bundesland oder Kanton wählen"
"--Please Select--","--Bitte wählen--"
"LightCheckout Skin","LightCheckout Skin"
"Allow to change Qty","Änderung der Menge ermöglichen"
"Allow to Remove Item from Checkout","Entferung von Waren aus der Kassa ermöglichen"
"Disable Cart","Warenkorb deaktivieren"
"Enable Discount Codes","Rabattcodes aktivieren"
"Yes, checkbox is checked","Ja, Checkbox ist aktiviert"
"Yes, checkbox is unchecked","Ja, Checkbox ist deaktivert"
"Create an Account checkbox","Konto-Checkbox erstellen"
"Available Delivery Days","Verfügbare Lieferdaten"
"Available Delivery from, hours","Verfügbare Lieferung ab, Stunden"
"Available Delivery to, hours","Verfübare Lieferung bis, Stunden"
"Set Interval for Delivery, days","Intervall für Lieferung einstellen, Tage"
"Enable GeoIP for Zip/Postcode","GeoIP für PLZ aktivieren"
"Enable GeoIP for City","GeoIP für Stadt aktivieren"
"Enable Ajax for Country","Ajax für Land aktiveren"
"Enable Ajax for State/Region","Ajax für Bundesland/Kanton aktivieren"
"Enable Ajax for Zip/Postcode","Ajax für PLZ aktivieren"
"Enable Ajax for City","Ajax für Stadt aktivieren"
"Show Address Book","Adressbuch anzeigen"
"State/Region","Bundesland/Kanton"
"Enable EU VAT Option","EU MwSt Option aktivieren"
"Base EU Country","Basis EU-Land"
"B2C & B2B (Base EU Country)","B2C & B2B (Basis EU-Land)"
"B2C & B2B (within EU, not Base EU Country)","B2C & B2B (innerhalb der EU, nicht Basis EU-Land)"
"VAT/Tax Rule","MwSt Regel"
"Show Buy without VAT checkbox","Kaufen ohne MwSt Checkbox anzeigen"
"Text under VAT/Tax field","Text unter dem MwSt Feld"
"EU VAT/Tax Settings","EU MwSt-Einstellungen"
"Without VAT if VAT Number is Verified","Ohne MwSt, falls die UID Nummer verifiziert ist"
"Without VAT","Ohne MwSt"
"With VAT","Mit MwSt"
"Yes, checked","Ja, aktiviert"
"Yes, unchecked","Ja, deaktiviert"
"Delivery Date","Lieferdatum"
"GeoIP Settings","GeoIP Einstellungen"
"Ajax Settings","Ajax Einstellungen"
"Yes, before Order Review","Ja, vor Kontrolle der Bestellung"
"Yes, after Order Review","Ja, nach Kontrolle der Bestellung"
"Selected Days","Ausgewählte Tage"
"All Days","Alle Tage"
"Activation","Aktivierung"
"Activation Key","Aktiviertungscode"
"Select Websites","Webseiten auswählen"
"GoMage LightCheckout","GoMage LightCheckout"
"Unchecked","Deaktiviert"
"Checked","Aktiviert"
"Enable, unchecked","Ermöglichen, deaktiviert"
"Enable, checked","Ermöglichen, aktiviert"
"To use GeoIP you need to upload GeoliteCity.dat file to folder /media/geoip. Read more in the <a target=""_blank"" href=""%s"">Installation Guide</a>","Um GeoIP zu verwenden, müssen Sie die Datei GeoliteCity.dat in den Ordner /media/geoip laden. Lesen Sie mehr in der <a target=""_blank"" href=""%s"">Installationsanleitung</a>"
"Select Date","Datum wählen"
"Buttons View","Button-Anzeige"
"Please enter a valid VAT.","Bitte geben Sie eine gültige UID Nummer ein."
"None","Keine"
"Use Сtrl + left mouse button to select the days","Drücken Sie Ctrl + die linke Maustaste, um die Tage auszuwählen"
"Please enter a valid key.","Bitte geben Sie einen gültigen Code ein."
"Gift Wrapping","Gift Wrapping"
